revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
rising,37139,37158,19,34.059538371472684,35.528933898305084
sniffing,37159,37205,46,40.38253786797598,30.56980396286935
left_turning,37206,37230,24,140.6055520943954,36.26785131311717
sniffing,37231,37281,50,63.750392618744904,38.57783087894153
rising,37282,37304,22,33.23059601701261,40.39430691047446
sniffing,37305,37317,12,21.908433000210987,34.01388117806222
rising,37318,37364,46,14.892344401715409,36.20237843605442
stepping,37365,37383,18,85.748901615975,34.44380766150395
left_turning,37384,37420,36,106.03416283321582,32.34264856159115
walking,37421,37449,28,194.16564619855188,33.89416226232635
sniffing,37450,37484,34,90.74798624460192,32.28993081125018
walking,37485,37515,30,116.50860437244435,38.18155899851069
rearing,37516,37547,31,35.6069263482472,42.240041796674625
sniffing,37548,37571,23,73.8825672461425,33.36956100634223
stepping,37572,37608,36,84.79848555500845,32.07769100902454
sniffing,37609,37841,232,33.23157778256647,33.07699367145028
rising,37842,38055,213,28.946321041391005,39.51669867662098
hunching,38056,38115,59,22.895989523861033,40.548598487525204
grooming,38116,38210,94,27.813428060851336,40.98055203996328
rearing,38211,38221,10,34.462981321797585,41.509061562181564
climbing,38222,38236,14,27.48542762270914,42.77731628310059
rearing,38237,38271,34,39.93845475620384,41.012462662005
grooming,38272,38386,114,29.724294457919946,39.37256650934831
rearing,38387,38446,59,27.014260377793395,43.40056982078616
grooming,38447,38636,189,22.2921668329087,39.00064549041719
rearing,38637,38664,27,35.62733974678612,42.29499004475715
sniffing,38665,38684,19,18.69136275951776,38.24434953553049
grooming,38685,38715,30,27.68577110785392,42.92409407716367
sniffing,38716,38787,71,28.003518200023528,36.541865138477405
walking,38788,38791,3,66.5203758126696,41.127424115235144
rearing,38792,38808,16,21.665662011373488,40.97320366968319
sniffing,38809,38827,18,21.863110796564772,32.245320908441165
left_turning,38828,38848,20,60.25109097247554,29.83877809633662
rising,38849,38899,50,26.606780120585878,32.26706734033715
sniffing,38900,38943,43,29.872032652637316,29.254773986047976
right_turning,38944,38960,16,63.450247138031195,30.085712185175307
rising,38961,38983,22,33.423681256519664,37.4243840543436
sniffing,38984,39003,19,35.16179435738173,32.46456938223488
left_turning,39004,39039,35,100.35203676364219,30.87098807978177
stepping,39040,39058,18,87.51588731006427,31.13095709862427
sniffing,39059,39096,37,45.07585127093548,32.62622207788106
right_turning,39097,39131,34,73.7633766810131,33.6541289664981
walking,39132,39181,49,90.79028486805521,36.19630554019233
climbing,39182,39294,112,31.60682743454266,53.42260267694716
sniffing,39295,39308,13,60.89282669620087,36.2732660140794
rising,39309,39359,50,17.81211625919657,36.830200383612926
sniffing,39360,39399,39,58.292722683567035,34.051846378941725
rising,39400,39437,37,57.60013259775366,34.962101566042
climbing,39438,39493,55,29.846015170772763,42.56477309430222
rising,39494,39517,23,45.642399934372854,39.541365709300486
climbing,39518,39561,43,47.53133255095267,54.81159130135334
right_turning,39562,39584,22,69.51755034101998,32.2733627997778
sniffing,39585,39641,56,68.11790046273055,35.47754845045634
walking,39642,39683,41,121.60175173137452,33.43585644183819
trotting,39684,39708,24,236.42843796852364,30.493812394774412
rising,39709,39731,22,48.23949612416838,31.89951814548951
sniffing,39732,39763,31,54.99714460526731,34.73866758293218
walking,39764,39796,32,193.26490664691775,34.5257885129423
left_turning,39797,39879,82,112.29469304655929,28.29827939937201
sniffing,39880,39958,78,23.188734070220615,28.669589387467028
right_turning,39959,40014,55,58.650513970184,30.812814653858403
sniffing,40015,40031,16,43.732991948291975,31.665587410275936
walking,40032,40060,28,157.21191187221837,33.284501245249814
rising,40061,40113,52,66.28322310537303,40.01882786365909
walking,40114,40128,14,99.16698785598237,40.06521667989452
climbing,40129,40146,17,28.09464234048804,47.03505781245698
rising,40147,40185,38,20.901003547747642,37.61704638321794
sniffing,40186,40198,12,57.10464406776021,36.60208227553808
rising,40199,40209,10,60.730884091654794,40.187952311647514
climbing,40210,40234,24,36.0005861788746,46.26297176344501
rising,40235,40302,67,47.03305617539605,38.60251221688453
sniffing,40303,40464,161,39.77543886994472,33.7795434753886
walking,40465,40505,40,137.071571150522,32.5748281340742
sniffing,40506,40540,34,92.47096280804266,34.09469878430191
walking,40541,40572,31,90.41034311675534,35.02846075635229
sniffing,40573,40584,11,21.62614766421758,33.096007085764974
rising,40585,40621,36,70.37468276719358,34.31050356288777
sniffing,40622,40699,77,20.832636583911885,34.23717279400586
stepping,40700,40737,37,97.47763314468818,37.17995918605693
sniffing,40738,40804,66,30.037298142842705,33.462840372598166
rising,40805,40876,71,49.08982055242279,34.440696516492665
climbing,40877,40958,81,24.23171217031702,47.66995773132192
sniffing,40959,41036,77,28.803604721338626,29.95272544247221
climbing,41037,41082,45,37.96610680986918,40.55826142146147
sniffing,41083,41127,44,42.421714523292,31.458777843236366
rising,41128,41141,13,37.502103939720165,33.75141832060256
climbing,41142,41164,22,50.62065282989188,39.37133470444762
right_turning,41165,41174,9,74.6526037092909,29.363846719700707
left_turning,41175,41212,37,112.02539220520664,30.42012388614568
trotting,41213,41239,26,216.50561057378326,27.864126232320796
sniffing,41240,41278,38,63.25843507106939,29.828211198587116
rearing,41279,41312,33,35.367281178884305,44.838786953128775
climbing,41313,41356,43,41.72461133608112,54.74962456223228
left_turning,41357,41398,41,77.227637532,37.69818721494449
walking,41399,41428,29,155.22060188738942,37.1704056183613
left_turning,41429,41484,55,52.54909836855505,32.64590854433453
climbing,41485,41516,31,45.87822308620912,45.917627744174524
left_turning,41517,41531,14,97.91580075756363,33.76737573786304
walking,41532,41543,11,187.427060505228,36.317376761973584
sniffing,41544,41575,31,25.360186498114473,32.21000443777188
rising,41576,41607,31,49.349818461132855,35.93510377919027
sniffing,41608,41667,59,13.085292678115868,36.02398587738286
stepping,41668,41699,31,85.80538838479387,30.227918771113828
sniffing,41700,41736,36,55.69002183698406,31.922003716899816
walking,41737,41784,47,227.96915707428502,32.60584595325315
rising,41785,41793,8,106.46356868984944,39.071038480463926
climbing,41794,41814,20,71.64793726173984,50.2849595099298
left_turning,41815,41820,5,82.80775872583591,34.39712207123488
sniffing,41821,41831,10,33.01912117184344,32.19890378937382
climbing,41832,41872,40,53.51805755484516,53.9533931969541
left_turning,41873,41899,26,115.41459676400551,42.91031821254688
walking,41900,41923,23,127.16201520341939,41.65512929890684
climbing,41924,41954,30,37.01471390796687,43.083787920128714
sniffing,41955,42033,78,26.067806243324625,34.189046403180946
climbing,42034,42058,24,30.25365475306357,42.88704766488228
right_turning,42059,42112,53,77.04984858647146,33.247776203181765
trotting,42113,42137,24,247.69676260162916,40.13757621296249
walking,42138,42175,37,127.51671412255207,30.87007216990573
sniffing,42176,42224,48,99.04810298223285,28.18641599337021
rising,42225,42250,25,23.176537725259166,33.692545932614166
climbing,42251,42303,52,51.658573603731504,52.53691494739574
sniffing,42304,42310,6,69.68660763384942,36.11835747433303
left_turning,42311,42390,79,102.70977624683118,34.64879024162083
sniffing,42391,42496,105,28.425815350393066,32.88239605051583
rising,42497,42525,28,39.81608179102919,34.68831871528182
sniffing,42526,42551,25,19.951205116857636,32.83497935559025
right_turning,42552,42562,10,89.79695460114013,31.87357596067086
walking,42563,42611,48,117.75324559841079,31.017983063863877
left_turning,42612,42635,23,121.99242731191758,28.743462609055086
walking,42636,42665,29,135.7554830400577,30.61345271019663
sniffing,42666,42704,38,32.177969069785334,29.412744760581592
left_turning,42705,42721,16,94.01055042760417,33.45720716463046
walking,42722,42726,4,164.4427590484309,34.014043862386444
right_turning,42727,42762,35,52.854067310750544,30.53404240974323
left_turning,42763,42808,45,146.21704093085108,31.539197714753595
walking,42809,42842,33,112.74442014054702,27.5923399422558
sniffing,42843,42961,118,23.627041594651505,28.955341775816983
rising,42962,42967,5,36.24818350583309,33.00381651225765
climbing,42968,43012,44,38.680836672293694,56.714974617502676
hunching,43013,43024,11,19.759612622202194,38.58281996195915
rising,43025,43054,29,25.303912191537222,30.865711643618123
climbing,43055,43091,36,35.529828584116494,38.5785881994746
rising,43092,43134,42,24.14256015777583,30.03065397274647
sniffing,43135,43203,68,41.36644800430714,30.31089520583107
walking,43204,43287,83,134.1197027658881,37.63786701374639
sniffing,43288,43355,67,50.78344374660075,38.442997498561695
walking,43356,43392,36,156.71344625518014,38.68740469671996
climbing,43393,43434,41,29.63903898819156,44.17245763205554
sniffing,43435,43518,83,39.24909057816412,35.467320299626024
left_turning,43519,43529,10,120.70742214658644,40.499862687481865
climbing,43530,43552,22,34.00814033880246,45.58869183249999
sniffing,43553,43626,73,17.76569386230987,36.33317670399431
stepping,43627,43649,22,97.40847943544459,31.23990861688656
sniffing,43650,43714,64,82.86291211114283,29.573010493598577
right_turning,43715,43746,31,63.7578225632776,34.064542374192634
left_turning,43747,43785,38,96.82118365225432,32.71636906946848
rising,43786,43802,16,42.79872516483152,37.07457096185226
rearing,43803,43846,43,33.4083053781263,38.65482324846738
walking,43847,43895,48,171.46128602452808,34.335953250517434
climbing,43896,43925,29,64.06754417319601,53.741384019436936
walking,43926,43932,6,76.89418651566962,34.83904583616888
sniffing,43933,43963,30,49.005436397379164,28.877534148938704
left_turning,43964,44005,41,92.31474731913264,31.927852898510658
trotting,44006,44043,37,232.62718376349983,29.53630405164755
sniffing,44044,44136,92,15.864387488088225,31.363143746306122
walking,44137,44154,17,61.992804047661735,34.84799923951013
