revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
walking,32721,32727,6,35.59702632528785,33.33730774199279
sniffing,32728,32744,16,25.742058361614568,29.34127004007846
rising,32745,32752,7,66.51984595055129,28.216272147199984
sniffing,32753,32843,90,58.65745520792171,24.46669294140079
rising,32844,32846,2,28.737974264226025,27.94861166988315
rearing,32847,32852,5,25.640174161042378,30.871459327589537
climbing,32853,32876,23,25.292551774709796,37.37866022441756
rising,32877,32880,3,28.44710581906335,29.598148316178577
sniffing,32881,32935,54,13.231477067414882,27.272349668390287
rising,32936,32940,4,19.60331069597844,25.583022709109578
sniffing,32941,32999,58,25.009641767393635,26.282818933862856
rearing,33000,33033,33,33.649741020130875,31.360715285627233
left_turning,33034,33053,19,53.84627821734493,28.762055063730607
sniffing,33054,33062,8,39.87065675256176,29.289033008741058
left_turning,33063,33074,11,72.46292787298606,28.870426520919654
walking,33075,33127,52,164.30950316001974,29.62469956139745
trotting,33128,33132,4,194.6429680130865,27.1735883639813
sniffing,33133,33217,84,72.55961742655539,28.118605385279118
climbing,33218,33366,148,25.81051595968877,44.91176663422072
rising,33367,33369,2,21.997488767713467,36.448780159088244
sniffing,33370,33418,48,22.33254746403877,27.796249484454176
rising,33419,33433,14,22.54371807959849,28.117054957444164
climbing,33434,33513,79,38.40731545443769,52.77670200341888
rising,33514,33559,45,23.527942875879738,30.21154854808956
hunching,33560,33606,46,20.89683380490522,31.55517046401748
sniffing,33607,33643,36,32.58334373410796,24.94506892910528
rising,33644,33648,4,26.716154856881285,30.58190245608477
rearing,33649,33656,7,23.83301440469227,35.32973956521669
climbing,33657,33690,33,36.75926909315223,46.714830435441925
sniffing,33691,33710,19,35.36447059799419,34.204428394359255
left_turning,33711,33711,0,86.59358453740674,33.760281815009954
sniffing,33712,33755,43,65.19175208075269,33.39071488382385
walking,33756,33815,59,189.3170411137832,31.587730890266947
sniffing,33816,33858,42,61.21487437505767,28.190601834143312
left_turning,33859,33873,14,96.63883074832516,25.42549199859333
sniffing,33874,33918,44,26.53288586203263,24.16821725303206
rising,33919,33937,18,28.552346737828856,31.1448921289637
sniffing,33938,34008,70,18.156247908122555,26.94341962664784
climbing,34009,34074,65,42.73038245919594,53.62346511255191
hunching,34075,34129,54,21.56090848177812,34.89771007902432
rising,34130,34147,17,13.195961532026205,32.84143782025711
sniffing,34148,34203,55,33.04679385918423,30.035827824634357
