revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
walking,20571,20605,34,124.21146425862412,19.99338453365233
sniffing,20606,20631,25,52.294518834212376,24.339198531419502
stepping,20632,20667,35,60.803556133217754,20.86859543831396
right_turning,20668,20699,31,75.91582637284856,26.83272633211291
running,20700,20731,31,268.19936139821954,22.7657989288603
trotting,20732,20749,17,206.7078273685633,19.385602951287645
stepping,20750,20782,32,56.49293265154215,18.390039980382486
sniffing,20783,20794,11,28.087479951212263,26.279251255527697
climbing,20795,20854,59,29.51359006575893,48.66636188958306
right_turning,20855,20861,6,152.74364304112015,23.824254570747723
walking,20862,20882,20,107.99745850081193,21.08775936447944
running,20883,20904,21,253.06481960532793,21.831469939150843
stepping,20905,20915,10,77.89160292571431,31.068456937990526
hunching,20916,21018,102,11.803971574730829,38.77423188398976
sniffing,21019,21054,35,58.95790718738666,28.55166542507812
rising,21055,21121,66,40.89051059275952,35.80938594089398
rearing,21122,21225,103,19.573952696395704,45.36304950252531
sniffing,21226,21264,38,26.583667695412295,26.17056882971116
right_turning,21265,21289,24,73.78466269589137,28.321649674598643
sniffing,21290,21421,131,44.66419278527622,30.633153490527576
rearing,21422,21443,21,50.53551021074588,47.23089228532447
sniffing,21444,21446,2,101.26632497555569,34.1270819210832
left_turning,21447,21449,2,168.30363241808962,27.274795587687322
walking,21450,21477,27,93.09404737292517,19.51087450433612
sniffing,21478,21484,6,35.56736126364583,26.040303259760204
rising,21485,21500,15,49.85609262159751,34.934951654488955
left_turning,21501,21532,31,100.69371079978082,23.8524358400287
walking,21533,21543,10,80.85231753237409,31.303299617425235
grooming,21544,21592,48,21.5852521888961,40.6809300536268
left_turning,21593,21603,10,54.45525095906678,20.939657457033164
sniffing,21604,21637,33,27.98702610516476,31.716319818173226
hunching,21638,21660,22,17.11355259596095,39.72282998458163
sniffing,21661,21711,50,20.284926623896723,29.12783606678337
hunching,21712,21741,29,15.9335056367749,42.332574721955254
grooming,21742,21781,39,19.365640812459752,40.2295839925798
stepping,21782,21798,16,61.6132314568735,27.671823811925066
sniffing,21799,21838,39,38.44002657900561,24.6372821697872
stepping,21839,21864,25,57.88725952628537,20.904107147704508
trotting,21865,21874,9,188.86534158403916,23.975687600255007
walking,21875,21915,40,145.02171153536554,19.036248544839946
sniffing,21916,21923,7,30.6841314924634,21.69921295158298
walking,21924,21956,32,106.23255890089872,20.79422002850179
sniffing,21957,21975,18,28.741154123878488,20.389127496229612
walking,21976,22000,24,186.30363803562093,23.512400597051602
sniffing,22001,22033,32,37.4864944277161,20.907284243603666
walking,22034,22045,11,123.53845446708858,23.403133389229904
stepping,22046,22087,41,83.45990648713956,24.30876240887688
trotting,22088,22135,47,229.43387928062566,23.30027592678923
sniffing,22136,22174,38,28.529103254253634,26.93271767853077
hunching,22175,22195,20,60.07168108920186,38.47646344227329
stepping,22196,22214,18,78.08160666982491,24.72871235031783
right_turning,22215,22223,8,139.59670041587384,28.62009472389719
trotting,22224,22248,24,228.34782994458303,23.73368879111273
walking,22249,22272,23,146.22557248029503,23.14724158702027
stepping,22273,22317,44,91.51832277255653,22.94408472156419
walking,22318,22357,39,105.8437257953553,21.906136508809876
grooming,22358,22380,22,54.31369194700464,31.284522897396172
left_turning,22381,22387,6,195.94957494909713,20.319056707438772
walking,22388,22409,21,165.6476222977369,19.511299966474425
left_turning,22410,22443,33,73.22015788052715,18.80712717603695
walking,22444,22477,33,116.17319270231069,16.08179735808735
stepping,22478,22495,17,50.06838420607991,16.881864393009245
sniffing,22496,22546,50,23.43168962369509,19.118222828826003
right_turning,22547,22561,14,115.78194010886456,22.831713505028812
trotting,22562,22583,21,225.9349890438614,23.198802640375497
sniffing,22584,22625,41,26.19464103270869,18.00171041549559
rearing,22626,22654,28,34.27728100734389,47.59222953482819
hunching,22655,22678,23,10.172178959961313,36.74940127348758
sniffing,22679,22739,60,13.149323079264617,17.448557454703494
grooming,22740,22778,38,28.5905943166673,32.83535563301894
sniffing,22779,22801,22,26.108172167825614,33.97402818950968
hunching,22802,22855,53,18.530129060587154,41.114856472476774
left_turning,22856,22865,9,110.21407295976478,27.228362153654466
stepping,22866,22898,32,83.92258837217777,27.202467499697732
trotting,22899,22923,24,215.8061615617208,24.66599982290292
sniffing,22924,22929,5,78.40024916999242,27.580956905849675
walking,22930,22937,7,136.32251361156958,23.95180211412114
trotting,22938,22962,24,190.73355088911453,23.53824085472766
walking,22963,23025,62,109.45177310770777,20.200209771349158
sniffing,23026,23033,7,32.13148024882006,22.495694592807713
hunching,23034,23066,32,39.535420376483586,37.81246865971528
left_turning,23067,23079,12,151.1532817796007,27.23901940565276
walking,23080,23151,71,130.98125743714036,22.883080260579796
sniffing,23152,23263,111,13.269133798947605,20.20045217488317
left_turning,23264,23277,13,129.30325447143565,22.94156432684514
running,23278,23319,41,243.16719824538563,20.114280164483265
stepping,23320,23345,25,64.01424579718687,18.857498899226215
sniffing,23346,23353,7,24.58990341368702,25.94576219026691
grooming,23354,23382,28,24.087749664240867,26.244524650760575
sniffing,23383,23402,19,64.27798203951156,22.829301606958275
trotting,23403,23427,24,205.35345214408832,27.526695060351923
walking,23428,23444,16,152.25301702289863,29.597698562165583
hunching,23445,23488,43,22.620860597856904,38.33407811520487
climbing,23489,23512,23,49.42160854268138,52.03797283970314
stepping,23513,23552,39,72.32752614702108,18.71253408344355
sniffing,23553,23586,33,15.690534207057942,18.77852430721306
climbing,23587,23616,29,51.20156185267144,51.66378525155515
right_turning,23617,23624,7,109.75631537989031,28.63570451330927
sniffing,23625,23633,8,52.363608328643316,36.966286108958776
rearing,23634,23662,28,13.97060480196603,44.02057266623109
rising,23663,23665,2,36.57889462942961,39.30430475659688
walking,23666,23675,9,65.7745254966708,33.54321906469504
hunching,23676,23733,57,13.265600349896854,43.04451178393116
sniffing,23734,23747,13,57.73625008104825,28.560329299704666
rearing,23748,23770,22,48.11432804773252,47.69590308692224
grooming,23771,23806,35,51.90150275161171,35.526420394927875
walking,23807,23815,8,100.87041434630288,29.051051926391196
climbing,23816,23854,38,40.5877846212365,56.79417892641795
sniffing,23855,23858,3,77.8589684217371,34.62125961330998
walking,23859,23879,20,134.75531431995702,29.834687146776133
sniffing,23880,23906,26,42.97131511800916,27.26553913517117
walking,23907,23912,5,97.09127937973032,31.168758558423093
hunching,23913,23914,1,102.41241705635707,37.96354141786791
climbing,23915,23956,41,51.358087880303216,52.64447793908052
sniffing,23957,24025,68,27.532438110805703,18.730540221638027
left_turning,24026,24034,8,117.5026668932707,24.792614764061145
trotting,24035,24062,27,218.24275658829788,22.786751681726447
sniffing,24063,24081,18,52.28324681144463,29.822198813919734
left_turning,24082,24099,17,90.2989368393396,18.612858504952243
stepping,24100,24123,23,59.067527535626056,17.259158346753985
sniffing,24124,24130,6,66.46159153730387,28.486281120880964
rearing,24131,24131,0,67.34182867765584,36.30041826808392
climbing,24132,24174,42,46.52072725730838,51.16791050795075
walking,24175,24216,41,139.46190046411314,28.381231771328835
sniffing,24217,24246,29,55.832385584465094,28.01124475865644
walking,24247,24268,21,120.27797115757484,22.194657619563273
sniffing,24269,24276,7,57.5568382987751,32.58529332207023
rearing,24277,24309,32,44.17638191321339,50.699736524563164
stepping,24310,24329,19,70.09597332682524,21.316647751501783
sniffing,24330,24339,9,48.48260669004895,33.27943788220164
hunching,24340,24360,20,27.420326075625944,44.66691412771089
sniffing,24361,24391,30,18.452545073561947,28.168109558728297
rising,24392,24408,16,29.050858541596327,41.282235605827076
sniffing,24409,24425,16,45.12009484962073,27.832613916779984
rearing,24426,24461,35,39.63187329245997,46.343623509705054
sniffing,24462,24471,9,18.934433434381646,25.563913193915724
right_turning,24472,24488,16,102.93769361044978,30.112752934952923
trotting,24489,24508,19,235.2805040949915,28.791578887744414
walking,24509,24539,30,128.3477120679435,30.206365727011907
hunching,24540,24604,64,20.63940197424951,32.983842724639636
walking,24605,24622,17,153.94275597000563,22.661861486961225
sniffing,24623,24639,16,59.91020626256808,27.393940870596115
walking,24640,24675,35,80.12374616009886,28.98813961555928
hunching,24676,24677,1,79.4031703124688,37.9678636674768
climbing,24678,24702,24,65.50482039372187,48.11966123823151
running,24703,24709,6,207.0937464708831,28.267493931686406
walking,24710,24745,35,133.91994035741328,21.100726842666052
sniffing,24746,24754,8,81.83402380494095,30.912397640809502
climbing,24755,24777,22,34.24355185106954,41.338655648121055
walking,24778,24808,30,98.62253198639465,21.471701282962297
sniffing,24809,24816,7,34.75551654792429,32.745542156442795
climbing,24817,24903,86,26.667668309790372,45.27334852708917
right_turning,24904,24918,14,158.62499355345014,27.99377142318536
stepping,24919,24939,20,52.409879381004465,22.28029611130234
walking,24940,24966,26,140.55598506451676,24.46585834609508
grooming,24967,24985,18,43.833128105176264,38.460332500955985
walking,24986,25004,18,106.38387070398035,28.11639182615817
climbing,25005,25039,34,34.001564291460504,48.5871563181989
left_turning,25040,25051,11,202.94227022248333,24.65415243458959
walking,25052,25059,7,125.72793234194337,30.377108596390986
climbing,25060,25161,101,11.655602219536743,37.96946623527899
grooming,25162,25176,14,35.30989702187063,35.92794785944903
left_turning,25177,25179,2,96.4141082378472,24.417057670533776
sniffing,25180,25195,15,68.4633845858167,26.314062381642216
hunching,25196,25243,47,17.853564701302478,31.455200735660892
sniffing,25244,25295,51,24.333061771016258,21.381430561005352
walking,25296,25327,31,97.82103815482975,20.936167366672176
sniffing,25328,25350,22,20.545489208072258,22.01839235380032
walking,25351,25391,40,187.49795919328795,21.538826773573913
sniffing,25392,25430,38,27.641108223159637,19.296342618329028
climbing,25431,25477,46,34.76016202614621,52.216061761051144
rearing,25478,25480,2,76.35583124174728,32.81421159099089
sniffing,25481,25509,28,51.318670659167026,31.35882415137943
left_turning,25510,25522,12,180.15191779471206,26.682626939675757
running,25523,25557,34,294.6701585523132,26.310627288283836
trotting,25558,25577,19,196.32453963743455,22.257047041514205
sniffing,25578,25605,27,29.175557149276056,21.333285810927578
grooming,25606,25631,25,32.13038454152652,33.04923129584319
hunching,25632,25691,59,14.918199657881875,40.66139642143424
sniffing,25692,25711,19,53.26291103102051,37.117429969568995
grooming,25712,25724,12,36.86660817617708,36.39732042673485
hunching,25725,25744,19,38.861099577893334,43.113565362183
sniffing,25745,25786,41,36.80323449675474,29.802971442929664
grooming,25787,25834,47,14.402926430086438,37.123543354480205
walking,25835,25860,25,110.68185403251799,30.06737391058412
rearing,25861,25882,21,23.12979501612117,45.969927436858605
sniffing,25883,25917,34,38.02253998639545,33.5088215780437
rearing,25918,25937,19,26.54351237124544,44.37925398311099
sniffing,25938,25958,20,66.46079704506963,30.95119326486925
grooming,25959,25985,26,27.03735428905149,34.633708577952454
sniffing,25986,26020,34,25.276757594805662,29.20954157104365
rearing,26021,26080,59,17.39918368502062,43.25677973209615
hunching,26081,26140,59,12.240376347438538,42.35908282777059
sniffing,26141,26161,20,66.57572245966412,32.05984660856974
hunching,26162,26221,59,12.114318451064966,42.526447003163824
sniffing,26222,26254,32,74.82751249057239,27.43841227407277
rearing,26255,26275,20,16.832856636015322,45.094214273114574
climbing,26276,26475,199,11.306923423929401,41.81933237672323
walking,26476,26497,21,55.81291527017166,30.314512292201684
climbing,26498,26539,41,19.49435736017536,47.97581037794552
rising,26540,26556,16,20.046917707928788,34.73530231242424
hunching,26557,26606,49,16.26401068913083,39.853148482189084
sniffing,26607,26626,19,59.58987457043423,29.150629058866535
rearing,26627,26640,13,16.94106233157459,42.375445171079946
climbing,26641,26697,56,13.087743125288876,46.16765888545914
sniffing,26698,26719,21,16.075890168634377,30.951396352910418
climbing,26720,26811,91,12.774164577168138,43.494028078122106
grooming,26812,26851,39,16.641058667461465,32.72195895420846
hunching,26852,26901,49,19.903203786398468,38.1351302741204
sniffing,26902,26937,35,37.34910937582245,28.570864968205367
rearing,26938,26991,53,15.033035648023908,41.17536062434874
hunching,26992,27034,42,18.254325806922154,38.404868367285594
rising,27035,27062,27,40.97453990729881,37.92780756033421
walking,27063,27084,21,93.3805103041644,30.517006217536252
hunching,27085,27098,13,40.865965977674804,40.72918466167916
rising,27099,27144,45,32.64245678106401,33.23034539884705
sniffing,27145,27228,83,26.481661948118987,27.83365449302383
rising,27229,27280,51,26.729883398126354,31.20596720126495
walking,27281,27327,46,92.70553391799044,29.879531493728003
hunching,27328,27344,16,36.684277090002524,40.23867347324078
sniffing,27345,27366,21,74.9933912559577,31.633857282515137
climbing,27367,27424,57,15.533143456992999,40.852217112241696
hunching,27425,27446,21,28.82435354994129,39.12652968725321
sniffing,27447,27463,16,37.567714036871166,29.420869828806385
hunching,27464,27465,1,32.714214509765284,37.83816070103242
rearing,27466,27494,28,48.85444120718641,49.23889126032206
sniffing,27495,27605,110,49.83727483288706,28.84951208838463
hunching,27606,27654,48,22.70798528023276,38.501150573455995
walking,27655,27683,28,64.54544928778697,29.521260774904373
hunching,27684,27713,29,24.634155385514035,41.416341483501775
rising,27714,27719,5,31.72042788836048,36.75755877234546
grooming,27720,27761,41,19.698347023647226,34.52119953540684
hunching,27762,27800,38,15.91800994477546,38.395430863736834
sniffing,27801,27868,67,60.75011171123409,30.824940568304182
walking,27869,27904,35,94.86861775969177,30.40145326750769
grooming,27905,27917,12,40.99573955017688,39.1482986352567
stepping,27918,27937,19,96.47710091644689,26.362519180178623
rearing,27938,27992,54,16.528613404115763,42.104771014049575
walking,27993,28012,19,90.12576470660392,27.013845599020687
rearing,28013,28059,46,25.14163590229738,46.397297860209825
sniffing,28060,28100,40,40.399621396436544,27.14383738653111
walking,28101,28124,23,142.37061233938766,32.5870141493095
rearing,28125,28135,10,58.73618240982271,56.19162853838134
