revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
sniffing,55027,55085,58,31.661566536100473,33.32753906939175
left_turning,55086,55098,12,104.58406778519799,33.35398251862895
walking,55099,55133,34,160.5005087693046,30.393318286451528
left_turning,55134,55178,44,98.3524423537966,31.607833626733278
sniffing,55179,55223,44,60.672286025286795,30.898339742463904
rising,55224,55238,14,23.507854551754253,33.58690124674786
climbing,55239,55323,84,40.434604177074995,47.57886870553606
rising,55324,55348,24,50.3408987203741,36.54331321008454
grooming,55349,55383,34,19.542869960868593,35.62493135004543
sniffing,55384,55443,59,35.00369439493535,33.86958079360757
left_turning,55444,55489,45,104.775701211797,28.714329731171475
walking,55490,55537,47,149.12537519238995,29.629645357178845
sniffing,55538,55592,54,32.614609463443955,27.23073809930038
left_turning,55593,55632,39,91.47639783728948,28.408293790229283
sniffing,55633,55693,60,24.834846084707838,30.258942867483412
walking,55694,55735,41,168.69258242399528,32.15340902837447
sniffing,55736,55810,74,56.866356062321415,27.143637175870044
climbing,55811,55885,74,43.91117665514889,51.825835412865736
hunching,55886,55890,4,44.66573666185315,34.73834386667553
sniffing,55891,55963,72,35.0148018529755,31.474639377733677
walking,55964,55986,22,166.09829046639675,33.99288276230514
trotting,55987,56032,45,205.75803170669698,29.98609290287663
sniffing,56033,56083,50,68.7931145402112,29.82330489841817
left_turning,56084,56108,24,65.66193926619582,32.33652450768673
stepping,56109,56139,30,109.96772654878501,26.871530879411786
rising,56140,56151,11,30.03478616162603,28.955922057360684
rearing,56152,56161,9,40.71471974482766,34.80176359419242
climbing,56162,56221,59,26.989795540559683,35.95739377630654
rising,56222,56271,49,62.70741533750511,27.259870942121537
climbing,56272,56361,89,36.6749518717075,39.35533898881661
grooming,56362,56406,44,22.90751956260863,31.799278752685105
sniffing,56407,56436,29,19.220339831771543,26.652179867866224
grooming,56437,56471,34,28.917282693507044,30.68928558483715
sniffing,56472,56657,185,32.708351943516334,26.909550544398826
left_turning,56658,56702,44,70.5279849296579,29.250067221758016
walking,56703,56743,40,154.85621711004077,29.99058367054822
sniffing,56744,56786,42,51.24019749067182,31.71750983213682
stepping,56787,56836,49,110.10597337692033,30.237655369507124
sniffing,56837,56885,48,25.859535174934337,27.05511313086752
rising,56886,56915,29,45.99212778375262,25.57817688936196
climbing,56916,57045,129,33.56570204300172,39.63042265696735
sniffing,57046,57077,31,46.54916248097243,32.429734905731365
walking,57078,57129,51,120.47388164685184,31.547005989381994
stepping,57130,57164,34,120.73559841869935,29.472853103881185
sniffing,57165,57180,15,68.1146278455796,24.54166384495723
stepping,57181,57188,7,76.18546582865824,29.895403372944774
rearing,57189,57243,54,65.1942498684111,36.492570793801185
climbing,57244,57303,59,45.56488985838928,55.608776158512846
rising,57304,57358,54,28.89646169453957,38.02750430313608
left_turning,57359,57368,9,108.05359861340443,32.318746483832754
walking,57369,57386,17,136.29909346637137,39.77125055802408
left_turning,57387,57425,38,76.81142245555375,33.68227326730014
sniffing,57426,57476,50,28.748735784358164,28.657890080053583
left_turning,57477,57521,44,83.06941280491189,29.229364394205728
sniffing,57522,57615,93,20.419299177862737,28.867209262071302
left_turning,57616,57649,33,67.37876118858702,26.797981546578363
sniffing,57650,57746,96,34.53668506058574,28.434254572319418
walking,57747,57816,69,121.37370368073726,28.846626118207602
rising,57817,57826,9,59.00127050294094,34.460677648964214
climbing,57827,57966,139,40.64579269677437,53.15301185740613
hunching,57967,57991,24,54.10584461028722,32.185439676708555
right_turning,57992,58004,12,128.42145537651226,27.591035022955673
walking,58005,58026,21,138.95813619803883,32.6340676199259
rearing,58027,58031,4,41.28113187831926,35.14731422947809
grooming,58032,58146,114,24.293814899422397,34.251852733953314
rising,58147,58173,26,73.71969744073364,30.83550093198133
climbing,58174,58308,134,20.68845674614371,36.389402090208236
rearing,58309,58358,49,13.206661238443862,34.371299500447236
rising,58359,58403,44,11.338831873846088,31.92128290012234
sniffing,58404,58459,55,29.29836750895212,26.651326476458724
climbing,58460,58509,49,37.028711024960806,39.423918963507234
right_turning,58510,58522,12,88.39080181910533,29.514498455693914
sniffing,58523,58538,15,40.58195304610228,27.22054004470494
walking,58539,58594,55,184.3499310664312,28.8406421180259
sniffing,58595,58660,65,28.98626960640794,27.486866724202557
hunching,58661,58665,4,53.678459645178975,36.27101295096333
climbing,58666,58745,79,42.708534843228996,52.91375577877015
rising,58746,58750,4,26.741420163929128,30.415029727153417
sniffing,58751,58782,31,44.21623764008595,28.423536489539032
walking,58783,58989,206,158.3554084422307,28.66347550025924
