revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
rising,27529,27477,27529,52
left_turning,27534,27529,27534,5
walking,27605,27534,27605,71
sniffing,27659,27605,27659,54
stepping,27668,27659,27668,9
walking,27708,27668,27708,40
stepping,27753,27708,27753,45
walking,27800,27753,27800,47
stepping,27829,27800,27829,29
sniffing,27830,27829,27830,1
walking,27865,27830,27865,35
left_turning,27891,27865,27891,26
walking,27907,27891,27907,16
rearing,27969,27907,27969,62
trotting,27993,27969,27993,24
sniffing,28008,27993,28008,15
left_turning,28020,28008,28020,12
rising,28021,28020,28021,1
climbing,28063,28021,28063,42
sniffing,28119,28063,28119,56
walking,28138,28119,28138,19
sniffing,28201,28138,28201,63
left_turning,28221,28201,28221,20
sniffing,28256,28221,28256,35
trotting,28303,28256,28303,47
sniffing,28372,28303,28372,69
trotting,28389,28372,28389,17
walking,28404,28389,28404,15
hunching,28457,28404,28457,53
sniffing,28498,28457,28498,41
walking,28537,28498,28537,39
left_turning,28544,28537,28544,7
sniffing,28593,28544,28593,49
left_turning,28662,28593,28662,69
rising,28677,28662,28677,15
hunching,28818,28677,28818,141
sniffing,28856,28818,28856,38
walking,28886,28856,28886,30
climbing,28911,28886,28911,25
rising,28959,28911,28959,48
trotting,29010,28959,29010,51
sniffing,29094,29010,29094,84
left_turning,29141,29094,29141,47
jumping,29190,29141,29190,49
rearing,29207,29190,29207,17
right_turning,29229,29207,29229,22
walking,29265,29229,29265,36
left_turning,29300,29265,29300,35
sniffing,29301,29300,29301,1
right_turning,29305,29301,29305,4
walking,29306,29305,29306,1
sniffing,29307,29306,29307,1
rising,29330,29307,29330,23
climbing,29361,29330,29361,31
sniffing,29370,29361,29370,9
walking,29399,29370,29399,29
left_turning,29464,29399,29464,65
sniffing,29501,29464,29501,37
rising,29502,29501,29502,1
climbing,29539,29502,29539,37
running,29540,29539,29540,1
rising,29552,29540,29552,12
right_turning,29575,29552,29575,23
left_turning,29609,29575,29609,34
sniffing,29746,29609,29746,137
trotting,29760,29746,29760,14
sniffing,29761,29760,29761,1
left_turning,29793,29761,29793,32
rising,29815,29793,29815,22
walking,29835,29815,29835,20
sniffing,29871,29835,29871,36
walking,29915,29871,29915,44
sniffing,29991,29915,29991,76
left_turning,30055,29991,30055,64
stepping,30056,30055,30056,1
sniffing,30084,30056,30084,28
left_turning,30194,30084,30194,110
walking,30224,30194,30224,30
sniffing,30225,30224,30225,1
walking,30249,30225,30249,24
climbing,30264,30249,30264,15
rising,30299,30264,30299,35
sniffing,30310,30299,30310,11
right_turning,30344,30310,30344,34
trotting,30363,30344,30363,19
walking,30379,30363,30379,16
climbing,30412,30379,30412,33
sniffing,30413,30412,30413,1
hunching,30532,30413,30532,119
walking,30569,30532,30569,37
sniffing,30599,30569,30599,30
stepping,30627,30599,30627,28
sniffing,30780,30627,30780,153
rising,30788,30780,30788,8
climbing,30825,30788,30825,37
sniffing,30841,30825,30841,16
walking,30880,30841,30880,39
running,30893,30880,30893,13
rearing,31008,30893,31008,115
walking,31036,31008,31036,28
stepping,31101,31036,31101,65
rising,31125,31101,31125,24
climbing,31161,31125,31161,36
left_turning,31181,31161,31181,20
sniffing,31236,31181,31236,55
climbing,31301,31236,31301,65
sniffing,31338,31301,31338,37
left_turning,31368,31338,31368,30
running,31392,31368,31392,24
rising,31504,31392,31504,112
sniffing,31579,31504,31579,75
trotting,31625,31579,31625,46
sniffing,31638,31625,31638,13
rising,31639,31638,31639,1
climbing,31704,31639,31704,65
rising,31705,31704,31705,1
sniffing,31706,31705,31706,1
walking,31745,31706,31745,39
sniffing,31832,31745,31832,87
rising,31876,31832,31876,44
sniffing,31893,31876,31893,17
right_turning,31924,31893,31924,31
walking,31943,31924,31943,19
rising,31944,31943,31944,1
climbing,31961,31944,31961,17
grooming,32459,31961,32459,498
trotting,32483,32459,32483,24
left_turning,32484,32483,32484,1
sniffing,32517,32484,32517,33
walking,32572,32517,32572,55
sniffing,32628,32572,32628,56
rising,32684,32628,32684,56
climbing,32702,32684,32702,18
rising,32712,32702,32712,10
trotting,32749,32712,32749,37
stepping,32772,32749,32772,23
walking,32782,32772,32782,10
sniffing,32851,32782,32851,69
pausing,32852,32851,32852,1
sniffing,32892,32852,32892,40
rising,32960,32892,32960,68
sniffing,32987,32960,32987,27
grooming,33557,32987,33557,570
rising,33578,33557,33578,21
walking,33668,33578,33668,90
stepping,33763,33668,33763,95
right_turning,33773,33763,33773,10
walking,33779,33773,33779,6
rising,33789,33779,33789,10
walking,33853,33789,33853,64
sniffing,33904,33853,33904,51
right_turning,33906,33904,33906,2
sniffing,33956,33906,33956,50
walking,33961,33956,33961,5
sniffing,33974,33961,33974,13
rising,34042,33974,34042,68
sniffing,34119,34042,34119,77
right_turning,34137,34119,34137,18
sniffing,34245,34137,34245,108
stepping,34296,34245,34296,51
walking,34312,34296,34312,16
rising,34347,34312,34347,35
grooming,34348,34347,34348,1
sniffing,34434,34348,34434,86
rising,34504,34434,34504,70
rearing,34505,34504,34505,1
hunching,34612,34505,34612,107
climbing,34631,34612,34631,19
right_turning,34660,34631,34660,29
sniffing,34661,34660,34661,1
climbing,34722,34661,34722,61
rising,34781,34722,34781,59
sniffing,34932,34781,34932,151
walking,34954,34932,34954,22
sniffing,35020,34954,35020,66
walking,35081,35020,35081,61
sniffing,35150,35081,35150,69
trotting,35169,35150,35169,19
sniffing,35243,35169,35243,74
right_turning,35255,35243,35255,12
walking,35294,35255,35294,39
rising,35349,35294,35349,55
sniffing,35388,35349,35388,39
climbing,35412,35388,35412,24
sniffing,35485,35412,35485,73
right_turning,35516,35485,35516,31
trotting,35528,35516,35528,12
sniffing,35555,35528,35555,27
climbing,35690,35555,35690,135
stepping,35730,35690,35730,40
sniffing,35788,35730,35788,58
rising,35789,35788,35789,1
jumping,35904,35789,35904,115
left_turning,35913,35904,35913,9
climbing,35961,35913,35961,48
trotting,35997,35961,35997,36
sniffing,36093,35997,36093,96
rising,36160,36093,36160,67
sniffing,36194,36160,36194,34
climbing,36203,36194,36203,9
walking,36248,36203,36248,45
rising,36288,36248,36288,40
climbing,36307,36288,36307,19
running,36324,36307,36324,17
walking,36335,36324,36335,11
stepping,36336,36335,36336,1
walking,36364,36336,36364,28
rising,36380,36364,36380,16
climbing,36428,36380,36428,48
rising,36483,36428,36483,55
sniffing,36604,36483,36604,121
left_turning,36652,36604,36652,48
