,location,points,density,statistic_type,video_index,ExperimentCondition,gender
102,center,8.702222222222222,1.3923555555555556,traditional_location,131,Stress_Light-on,male
103,perimeter,91.29777777777778,7.303822222222223,traditional_location,131,Stress_Light-on,male
104,corner,0.0,0.0,traditional_location,131,Stress_Light-on,male
105,center,4.152222222222222,0.6643555555555555,traditional_location,132,Stress_Light-on,male
106,perimeter,95.84777777777778,7.667822222222222,traditional_location,132,Stress_Light-on,male
107,corner,0.0,0.0,traditional_location,132,Stress_Light-on,male
108,center,3.748888888888889,0.5998222222222223,traditional_location,133,Stress_Light-on,male
109,perimeter,96.25111111111111,7.700088888888889,traditional_location,133,Stress_Light-on,male
110,corner,0.0,0.0,traditional_location,133,Stress_Light-on,male
111,center,12.354444444444445,1.9767111111111113,traditional_location,134,Stress_Light-on,male
112,perimeter,87.64555555555556,7.011644444444444,traditional_location,134,Stress_Light-on,male
113,corner,0.0,0.0,traditional_location,134,Stress_Light-on,male
114,center,4.3533333333333335,0.6965333333333334,traditional_location,135,Stress_Light-on,female
115,perimeter,95.64666666666668,7.651733333333334,traditional_location,135,Stress_Light-on,female
116,corner,0.0,0.0,traditional_location,135,Stress_Light-on,female
117,center,2.1333333333333333,0.3413333333333333,traditional_location,136,Stress_Light-on,female
118,perimeter,97.86666666666667,7.8293333333333335,traditional_location,136,Stress_Light-on,female
119,corner,0.0,0.0,traditional_location,136,Stress_Light-on,female
120,center,5.437777777777778,0.8700444444444445,traditional_location,137,Stress_Light-on,female
121,perimeter,94.56222222222223,7.564977777777778,traditional_location,137,Stress_Light-on,female
122,corner,0.0,0.0,traditional_location,137,Stress_Light-on,female
123,center,11.734444444444444,1.877511111111111,traditional_location,138,Stress_Light-on,female
124,perimeter,88.26555555555555,7.061244444444444,traditional_location,138,Stress_Light-on,female
125,corner,0.0,0.0,traditional_location,138,Stress_Light-on,female
126,center,29.28222222222222,4.685155555555555,traditional_location,139,Stress_Light-on,male
127,perimeter,70.71777777777778,5.657422222222222,traditional_location,139,Stress_Light-on,male
128,corner,0.0,0.0,traditional_location,139,Stress_Light-on,male
129,center,24.55777777777778,3.9292444444444445,traditional_location,140,Stress_Light-on,male
130,perimeter,75.44222222222223,6.035377777777779,traditional_location,140,Stress_Light-on,male
