,revised_movement_label,count,percentage,loc_type,location,statistic_type,video_index,ExperimentCondition,gender
150,running,245.0,0.00829524293211444,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
151,trotting,1098.0,0.03717623158963941,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
152,left_turning,3650.0,0.12358219062129677,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
153,right_turning,1898.0,0.06426273912307431,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
154,walking,7894.0,0.26727611308616894,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
155,stepping,1943.0,0.06578635517183003,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
156,sniffing,29535.0,1.0,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
157,rising,7384.0,0.2500084645336042,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
158,hunching,1879.0,0.06361943456915524,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
159,rearing,6757.0,0.2287794142542746,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
160,climbing,9958.0,0.33715930252243104,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
161,jumping,0.0,0.0,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
162,grooming,8015.0,0.27137294735060097,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
163,scratching,0.0,0.0,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
164,pausing,4662.0,0.15784662265109192,traditional_location,perimeter,traditional_location,9,Morning_Light-on,male
165,running,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
166,trotting,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
167,left_turning,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
168,right_turning,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
169,walking,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
170,stepping,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
171,sniffing,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
172,rising,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
173,hunching,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
174,rearing,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
175,climbing,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
176,jumping,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
177,grooming,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
178,scratching,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
179,pausing,0.0,0.0,traditional_location,corner,traditional_location,9,Morning_Light-on,male
180,running,126.0,0.060781476121562955,traditional_location,center,traditional_location,13,Morning_Light-on,female
181,trotting,400.0,0.1929570670525808,traditional_location,center,traditional_location,13,Morning_Light-on,female
182,left_turning,465.0,0.22431259044862517,traditional_location,center,traditional_location,13,Morning_Light-on,female
183,right_turning,50.0,0.0241196333815726,traditional_location,center,traditional_location,13,Morning_Light-on,female
184,walking,2073.0,1.0,traditional_location,center,traditional_location,13,Morning_Light-on,female
185,stepping,605.0,0.2918475639170285,traditional_location,center,traditional_location,13,Morning_Light-on,female
186,sniffing,789.0,0.38060781476121563,traditional_location,center,traditional_location,13,Morning_Light-on,female
187,rising,220.0,0.10612638687891944,traditional_location,center,traditional_location,13,Morning_Light-on,female
188,hunching,210.0,0.10130246020260492,traditional_location,center,traditional_location,13,Morning_Light-on,female
189,rearing,606.0,0.29232995658465993,traditional_location,center,traditional_location,13,Morning_Light-on,female
190,climbing,0.0,0.0,traditional_location,center,traditional_location,13,Morning_Light-on,female
191,jumping,0.0,0.0,traditional_location,center,traditional_location,13,Morning_Light-on,female
192,grooming,1705.0,0.8224794983116257,traditional_location,center,traditional_location,13,Morning_Light-on,female
193,scratching,0.0,0.0,traditional_location,center,traditional_location,13,Morning_Light-on,female
194,pausing,0.0,0.0,traditional_location,center,traditional_location,13,Morning_Light-on,female
195,running,766.0,0.033795111620930025,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
196,trotting,2370.0,0.1045618988793788,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
197,left_turning,4970.0,0.2192711550339716,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
198,right_turning,2471.0,0.10901791229153798,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
199,walking,10933.0,0.48235242213006263,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
200,stepping,3399.0,0.14996029294979263,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
201,sniffing,22666.0,1.0,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
202,rising,8598.0,0.37933468631430334,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
