,location,points,density,statistic_type,video_index,ExperimentCondition,gender
79,perimeter,37.536389697548834,3.574894256909413,data_driven_location,57,Morning_Light-on,female
80,corner,49.71666037023045,22.0962934978802,data_driven_location,57,Morning_Light-on,female
81,center,30.52178937309718,2.491574642701811,data_driven_location,58,Morning_Light-on,male
82,perimeter,33.99297762172493,3.2374264401642794,data_driven_location,58,Morning_Light-on,male
83,corner,35.48523300517789,15.77121466896795,data_driven_location,58,Morning_Light-on,male
84,center,6.203471188248628,0.5064058112856022,data_driven_location,61,Morning_Light-on,female
85,perimeter,40.877575057223495,3.8931023864022376,data_driven_location,61,Morning_Light-on,female
86,corner,52.91895375452788,23.51953500201239,data_driven_location,61,Morning_Light-on,female
87,center,8.031289584212981,0.6556154762622841,data_driven_location,54,Morning_Light-on,male
88,perimeter,37.24416098135514,3.547062950605251,data_driven_location,54,Morning_Light-on,male
89,corner,54.72454943443188,24.32202197085861,data_driven_location,54,Morning_Light-on,male
90,center,11.212222222222222,0.8370078400536163,data_driven_location,127,Stress_Light-on,female
91,perimeter,43.29666666666667,4.414063561971563,data_driven_location,127,Stress_Light-on,female
92,corner,45.49111111111111,25.33476894136284,data_driven_location,127,Stress_Light-on,female
93,center,17.005555555555553,1.2694881569735996,data_driven_location,128,Stress_Light-on,female
94,perimeter,48.852222222222224,4.980448395545044,data_driven_location,128,Stress_Light-on,female
95,corner,34.14222222222222,19.01438083215762,data_driven_location,128,Stress_Light-on,female
96,center,25.423333333333332,1.8978868683249226,data_driven_location,129,Stress_Light-on,female
97,perimeter,59.967777777777776,6.113671170558863,data_driven_location,129,Stress_Light-on,female
98,corner,14.608888888888888,8.135937229276504,data_driven_location,129,Stress_Light-on,female
99,center,29.702222222222225,2.217311820465095,data_driven_location,130,Stress_Light-on,female
100,perimeter,57.00333333333333,5.811448223364054,data_driven_location,130,Stress_Light-on,female
101,corner,13.294444444444444,7.4039008935422395,data_driven_location,130,Stress_Light-on,female
102,center,23.887777777777778,1.7832555300081951,data_driven_location,131,Stress_Light-on,male
103,perimeter,63.51555555555556,6.475364525278889,data_driven_location,131,Stress_Light-on,male
104,corner,12.596666666666668,7.015296651072994,data_driven_location,131,Stress_Light-on,male
105,center,18.37,1.3713458150437456,data_driven_location,132,Stress_Light-on,male
106,perimeter,53.062222222222225,5.4096548224270276,data_driven_location,132,Stress_Light-on,male
107,corner,28.567777777777774,15.909878468354743,data_driven_location,132,Stress_Light-on,male
108,center,26.013333333333332,1.9419311813829416,data_driven_location,133,Stress_Light-on,male
109,perimeter,39.04111111111111,3.9802127794542765,data_driven_location,133,Stress_Light-on,male
110,corner,34.94555555555556,19.461770748248806,data_driven_location,133,Stress_Light-on,male
111,center,27.795555555555556,2.0749765262888973,data_driven_location,134,Stress_Light-on,male
112,perimeter,36.19888888888889,3.690450298598084,data_driven_location,134,Stress_Light-on,male
113,corner,36.00555555555556,20.052102670725976,data_driven_location,134,Stress_Light-on,male
114,center,10.404444444444444,0.7767061157726749,data_driven_location,135,Stress_Light-on,female
115,perimeter,36.35111111111111,3.7059692430379974,data_driven_location,135,Stress_Light-on,female
116,corner,53.24444444444445,29.652731368035447,data_driven_location,135,Stress_Light-on,female
117,center,7.745555555555556,0.5782163960968942,data_driven_location,136,Stress_Light-on,female
118,perimeter,46.845555555555556,4.775870193658302,data_driven_location,136,Stress_Light-on,female
119,corner,45.40888888888889,25.28897799559417,data_driven_location,136,Stress_Light-on,female
120,center,29.486666666666668,2.201220301193427,data_driven_location,137,Stress_Light-on,female
121,perimeter,42.77777777777778,4.3611632185158005,data_driven_location,137,Stress_Light-on,female
122,corner,27.735555555555557,15.44639984158808,data_driven_location,137,Stress_Light-on,female
123,center,22.023333333333333,1.6440721829058298,data_driven_location,138,Stress_Light-on,female
124,perimeter,42.96,4.37974064105701,data_driven_location,138,Stress_Light-on,female
125,corner,35.016666666666666,19.50137372837306,data_driven_location,138,Stress_Light-on,female
126,center,61.78444444444444,4.612293920723554,data_driven_location,139,Stress_Light-on,male
127,perimeter,31.406666666666666,3.2018867411576,data_driven_location,139,Stress_Light-on,male
128,corner,6.808888888888889,3.7919853468973543,data_driven_location,139,Stress_Light-on,male
129,center,52.087777777777774,3.888424391425376,data_driven_location,140,Stress_Light-on,male
130,perimeter,33.94444444444444,3.4606113331339654,data_driven_location,140,Stress_Light-on,male
131,corner,13.96777777777778,7.778891611593774,data_driven_location,140,Stress_Light-on,male
132,center,28.178888888888885,2.1035928878802657,data_driven_location,141,Stress_Light-on,male
133,perimeter,44.535555555555554,4.540367379858449,data_driven_location,141,Stress_Light-on,male
134,corner,27.285555555555558,15.195787232989282,data_driven_location,141,Stress_Light-on,male
135,center,25.153333333333332,1.877730996247524,data_driven_location,142,Stress_Light-on,male
136,perimeter,55.54888888888889,5.663168673934516,data_driven_location,142,Stress_Light-on,male
137,corner,19.297777777777778,10.747258731219524,data_driven_location,142,Stress_Light-on,male
138,center,34.01888888888889,2.53955693577659,data_driven_location,143,Stress_Light-on,female
139,perimeter,40.06444444444445,4.0845408657985125,data_driven_location,143,Stress_Light-on,female
140,corner,25.916666666666664,14.433429865597384,data_driven_location,143,Stress_Light-on,female
141,center,17.682222222222222,1.320002256130537,data_driven_location,144,Stress_Light-on,female
142,perimeter,50.976666666666674,5.197033955903543,data_driven_location,144,Stress_Light-on,female
143,corner,31.341111111111108,17.454394693200662,data_driven_location,144,Stress_Light-on,female
144,center,27.133333333333333,2.0255407248151136,data_driven_location,145,Stress_Light-on,female
145,perimeter,36.312222222222225,3.7020045492029836,data_driven_location,145,Stress_Light-on,female
146,corner,36.55444444444444,20.35778817356006,data_driven_location,145,Stress_Light-on,female
147,center,19.393333333333334,1.4477390585963552,data_driven_location,146,Stress_Light-on,female
148,perimeter,57.07777777777778,5.819037780133939,data_driven_location,146,Stress_Light-on,female
149,corner,23.528888888888886,13.103636048612657,data_driven_location,146,Stress_Light-on,female
150,center,38.34444444444444,2.8624656188931024,data_driven_location,147,Stress_Light-on,male
151,perimeter,46.47,4.737582578908735,data_driven_location,147,Stress_Light-on,male
152,corner,15.185555555555554,8.457092646221628,data_driven_location,147,Stress_Light-on,male
153,center,52.473333333333336,3.9172066449679996,data_driven_location,148,Stress_Light-on,male
154,perimeter,41.29333333333333,4.209825190984965,data_driven_location,148,Stress_Light-on,male
155,corner,6.233333333333333,3.4714487265166705,data_driven_location,148,Stress_Light-on,male
156,center,38.68555555555556,2.8879300334106395,data_driven_location,149,Stress_Light-on,male
157,perimeter,48.385555555555555,4.932872069524871,data_driven_location,149,Stress_Light-on,male
158,corner,12.92888888888889,7.200316823840995,data_driven_location,149,Stress_Light-on,male
159,center,58.41111111111111,4.360469938719513,data_driven_location,150,Stress_Light-on,male
160,perimeter,31.851111111111113,3.247197527843479,data_driven_location,150,Stress_Light-on,male
161,corner,9.737777777777778,5.42313309076508,data_driven_location,150,Stress_Light-on,male
162,center,2.7255555555555557,0.20346647821341007,data_driven_location,151,Stress_Light-on,female
163,perimeter,13.805555555555554,1.407466311430099,data_driven_location,151,Stress_Light-on,female
164,corner,83.4688888888889,46.48523551397243,data_driven_location,151,Stress_Light-on,female
165,center,19.011111111111113,1.419205642980614,data_driven_location,152,Stress_Light-on,female
166,perimeter,44.217777777777776,4.507970167378046,data_driven_location,152,Stress_Light-on,female
167,corner,36.77111111111111,20.47845350362615,data_driven_location,152,Stress_Light-on,female
168,center,52.446666666666665,3.9152159415529475,data_driven_location,153,Stress_Light-on,female
169,perimeter,27.261111111111113,2.779250378345069,data_driven_location,153,Stress_Light-on,female
170,corner,20.29222222222222,11.301081656394643,data_driven_location,153,Stress_Light-on,female
171,center,33.544444444444444,2.504139004183795,data_driven_location,154,Stress_Light-on,female
172,perimeter,40.31444444444445,4.110028183309319,data_driven_location,154,Stress_Light-on,female
173,corner,26.14111111111111,14.558426771614561,data_driven_location,154,Stress_Light-on,female
174,center,23.974444444444444,1.789725316107113,data_driven_location,155,Stress_Light-on,male
175,perimeter,56.327777777777776,5.742575827601518,data_driven_location,155,Stress_Light-on,male
176,corner,19.697777777777777,10.970025494418454,data_driven_location,155,Stress_Light-on,male
177,center,30.762222222222224,2.2964422812134004,data_driven_location,156,Stress_Light-on,male
178,perimeter,37.114444444444445,3.783790519170994,data_driven_location,156,Stress_Light-on,male
179,corner,32.123333333333335,17.890027474567464,data_driven_location,156,Stress_Light-on,male
180,center,24.65,1.8401564692884231,data_driven_location,157,Stress_Light-on,male
181,perimeter,58.24666666666667,5.938205149117799,data_driven_location,157,Stress_Light-on,male
182,corner,17.103333333333335,9.525135516447614,data_driven_location,157,Stress_Light-on,male
183,center,49.287777777777784,3.679400532844948,data_driven_location,158,Stress_Light-on,male
184,perimeter,40.09444444444444,4.087599343899808,data_driven_location,158,Stress_Light-on,male
185,corner,10.617777777777777,5.913219969802727,data_driven_location,158,Stress_Light-on,male
