,location,points,density,statistic_type,video_index,ExperimentCondition,gender
129,center,6.172222222222222,0.9875555555555555,traditional_location,140,Stress_Light-on,male
130,perimeter,93.82777777777778,7.506222222222222,traditional_location,140,Stress_Light-on,male
131,corner,0.0,0.0,traditional_location,140,Stress_Light-on,male
132,center,3.4055555555555554,0.5448888888888889,traditional_location,141,Stress_Light-on,male
133,perimeter,96.59444444444445,7.727555555555556,traditional_location,141,Stress_Light-on,male
134,corner,0.0,0.0,traditional_location,141,Stress_Light-on,male
135,center,6.272222222222222,1.0035555555555555,traditional_location,142,Stress_Light-on,male
136,perimeter,93.72777777777777,7.498222222222222,traditional_location,142,Stress_Light-on,male
137,corner,0.0,0.0,traditional_location,142,Stress_Light-on,male
138,center,1.8277777777777777,0.29244444444444445,traditional_location,143,Stress_Light-on,female
139,perimeter,98.17222222222223,7.853777777777778,traditional_location,143,Stress_Light-on,female
140,corner,0.0,0.0,traditional_location,143,Stress_Light-on,female
141,center,0.9444444444444444,0.1511111111111111,traditional_location,144,Stress_Light-on,female
142,perimeter,99.05555555555556,7.924444444444445,traditional_location,144,Stress_Light-on,female
143,corner,0.0,0.0,traditional_location,144,Stress_Light-on,female
144,center,1.472222222222222,0.23555555555555552,traditional_location,145,Stress_Light-on,female
145,perimeter,98.52777777777779,7.8822222222222225,traditional_location,145,Stress_Light-on,female
146,corner,0.0,0.0,traditional_location,145,Stress_Light-on,female
147,center,8.744444444444445,1.3991111111111114,traditional_location,146,Stress_Light-on,female
148,perimeter,91.25555555555556,7.3004444444444445,traditional_location,146,Stress_Light-on,female
149,corner,0.0,0.0,traditional_location,146,Stress_Light-on,female
150,center,3.5111111111111115,0.5617777777777778,traditional_location,147,Stress_Light-on,male
151,perimeter,96.4888888888889,7.719111111111111,traditional_location,147,Stress_Light-on,male
152,corner,0.0,0.0,traditional_location,147,Stress_Light-on,male
153,center,0.9666666666666667,0.15466666666666665,traditional_location,148,Stress_Light-on,male
154,perimeter,99.03333333333333,7.922666666666666,traditional_location,148,Stress_Light-on,male
155,corner,0.0,0.0,traditional_location,148,Stress_Light-on,male
156,center,0.7777777777777778,0.12444444444444444,traditional_location,149,Stress_Light-on,male
157,perimeter,99.22222222222223,7.937777777777778,traditional_location,149,Stress_Light-on,male
158,corner,0.0,0.0,traditional_location,149,Stress_Light-on,male
159,center,0.12222222222222222,0.019555555555555555,traditional_location,150,Stress_Light-on,male
160,perimeter,99.87777777777778,7.990222222222222,traditional_location,150,Stress_Light-on,male
161,corner,0.0,0.0,traditional_location,150,Stress_Light-on,male
162,center,0.7277777777777777,0.11644444444444443,traditional_location,151,Stress_Light-on,female
163,perimeter,99.27222222222221,7.941777777777777,traditional_location,151,Stress_Light-on,female
164,corner,0.0,0.0,traditional_location,151,Stress_Light-on,female
165,center,3.361111111111111,0.5377777777777778,traditional_location,152,Stress_Light-on,female
166,perimeter,96.63888888888889,7.731111111111112,traditional_location,152,Stress_Light-on,female
167,corner,0.0,0.0,traditional_location,152,Stress_Light-on,female
168,center,6.4111111111111105,1.0257777777777777,traditional_location,153,Stress_Light-on,female
169,perimeter,93.58888888888889,7.487111111111111,traditional_location,153,Stress_Light-on,female
170,corner,0.0,0.0,traditional_location,153,Stress_Light-on,female
171,center,2.4555555555555557,0.39288888888888895,traditional_location,154,Stress_Light-on,female
172,perimeter,97.54444444444445,7.803555555555556,traditional_location,154,Stress_Light-on,female
173,corner,0.0,0.0,traditional_location,154,Stress_Light-on,female
174,center,0.5888888888888889,0.09422222222222222,traditional_location,155,Stress_Light-on,male
175,perimeter,99.41111111111111,7.952888888888889,traditional_location,155,Stress_Light-on,male
176,corner,0.0,0.0,traditional_location,155,Stress_Light-on,male
177,center,0.7777777777777778,0.12444444444444444,traditional_location,156,Stress_Light-on,male
178,perimeter,99.22222222222223,7.937777777777778,traditional_location,156,Stress_Light-on,male
179,corner,0.0,0.0,traditional_location,156,Stress_Light-on,male
180,center,1.6666666666666667,0.26666666666666666,traditional_location,157,Stress_Light-on,male
181,perimeter,98.33333333333333,7.866666666666666,traditional_location,157,Stress_Light-on,male
182,corner,0.0,0.0,traditional_location,157,Stress_Light-on,male
183,center,12.672222222222224,2.0275555555555558,traditional_location,158,Stress_Light-on,male
184,perimeter,87.32777777777778,6.9862222222222226,traditional_location,158,Stress_Light-on,male
185,corner,0.0,0.0,traditional_location,158,Stress_Light-on,male
