,revised_movement_label,step_type,bouts,valley_time_gap,vally_value,peak_time_gap,peak_value,group
862,running,distance1,16,5.75,44.90287361962727,6.0,55.954146301147055,Morning_lightOn
863,running,distance1,17,7.0,44.881947269783566,7.5,55.842869889775436,Morning_lightOn
864,running,distance1,18,5.0,47.49927519108157,6.0,52.733840800403115,Morning_lightOn
865,running,distance1,19,6.333333333333333,45.747816282212284,5.75,54.29093970068307,Morning_lightOn
866,running,distance1,20,6.333333333333333,42.724454357516294,5.5,50.31390923203721,Morning_lightOn
867,running,distance1,21,5.5,42.203735294896426,5.4,51.650035139050026,Morning_lightOn
868,running,distance1,22,6.5,44.594106713306736,6.0,58.122843394634515,Morning_lightOn
869,running,distance1,23,6.333333333333333,44.98734007194351,7.0,54.47019857453096,Morning_lightOn
870,running,distance1,24,7.5,44.50533440814801,7.0,56.72714709484701,Morning_lightOn
871,running,distance1,25,3.0,46.85662994669393,3.5,52.80789235886508,Morning_lightOn
872,running,distance1,26,5.0,45.80003137398599,5.5,56.60814365995486,Morning_lightOn
873,running,distance1,27,6.666666666666667,47.31609479534154,6.0,51.81687117094511,Morning_lightOn
874,running,distance1,28,6.5,43.52618714213752,7.0,54.32024178900176,Morning_lightOn
875,running,distance1,29,5.4,43.23485684976956,6.333333333333333,52.13289014879183,Morning_lightOn
876,running,distance1,30,5.333333333333333,46.04711449033177,5.8,56.397838934290895,Morning_lightOn
877,running,distance1,31,5.0,47.26570253634604,6.5,54.50009012495823,Morning_lightOn
878,running,distance1,32,5.75,45.66598667687024,6.0,56.47618442858701,Morning_lightOn
879,running,distance1,33,5.8,43.95588297309439,6.166666666666667,55.78251387651299,Morning_lightOn
880,running,distance1,34,5.0,47.49611979293969,5.5,55.04425402644344,Morning_lightOn
881,running,distance1,35,5.166666666666667,48.59208467479089,5.0,55.93629837962518,Morning_lightOn
882,running,distance1,36,6.0,46.101844596109316,5.333333333333333,52.97292854826828,Morning_lightOn
883,running,distance1,37,6.0,45.29644076234305,6.5,55.98793102137089,Morning_lightOn
884,running,distance1,38,4.0,49.78751981069153,3.0,57.40283750630556,Morning_lightOn
885,running,distance1,39,5.0,48.35352141030174,5.0,60.127250043625345,Morning_lightOn
886,running,distance1,40,4.0,46.69021156210184,6.0,56.68519772165498,Morning_lightOn
887,running,distance1,41,6.333333333333333,47.942789446356755,5.5,56.83128749172645,Morning_lightOn
888,running,distance1,42,7.0,45.73694396340456,6.5,55.72554280248554,Morning_lightOn
889,running,distance1,43,5.5,42.58012742583694,6.0,50.59795373666695,Morning_lightOn
890,running,distance1,44,4.666666666666667,45.31740144536172,5.0,56.29332844204361,Morning_lightOn
891,running,distance1,45,6.0,46.911328857598946,5.5,59.49712760213339,Morning_lightOn
892,running,distance1,46,7.0,48.76475455196419,6.0,54.28828625318079,Morning_lightOn
893,running,distance1,47,7.0,44.735130936518544,6.5,52.69695790970757,Morning_lightOn
894,running,distance1,48,6.0,49.529812488228224,5.75,58.89967427600967,Morning_lightOn
895,running,distance1,49,6.0,47.95787810094896,5.5,57.42459313574934,Morning_lightOn
896,running,distance1,50,6.0,47.22039728812592,5.666666666666667,56.014441462028586,Morning_lightOn
897,running,distance1,51,6.0,45.78566657049257,5.5,57.14052960354114,Morning_lightOn
898,running,distance1,52,5.5,46.63510561688374,4.666666666666667,56.27530197683753,Morning_lightOn
899,running,distance1,53,7.2,41.078417181115704,6.25,55.26179532828102,Morning_lightOn
900,running,distance1,54,6.0,43.249013282524444,7.5,54.90967868559119,Morning_lightOn
901,running,distance1,55,5.0,53.24324214844345,5.0,64.8781279042144,Morning_lightOn
902,running,distance1,56,8.0,40.85566337462536,6.5,53.6347472772901,Morning_lightOn
903,running,distance1,57,5.5,48.03482634598022,5.333333333333333,55.27142195702952,Morning_lightOn
904,running,distance1,58,4.0,48.65398111532012,5.0,54.69039303332793,Morning_lightOn
905,running,distance1,59,6.0,45.132985464398914,6.0,58.22685397899471,Morning_lightOn
906,running,distance1,60,6.5,51.545631401830214,6.0,59.499643386503756,Morning_lightOn
907,running,distance1,61,5.666666666666667,49.138667636149265,5.0,59.19394619343971,Morning_lightOn
908,running,distance1,62,6.5,43.39064112667656,6.0,52.59578522644159,Morning_lightOn
909,running,distance1,63,6.0,45.094709493254015,5.5,56.15312730854571,Morning_lightOn
910,trotting,distance1,1,6.666666666666667,45.286279804054885,7.0,56.48858488882365,Morning_lightOn
911,trotting,distance1,2,7.333333333333333,43.98725644409357,7.5,56.111113257833516,Morning_lightOn
912,trotting,distance1,3,7.0,47.66765461585946,7.5,55.85133863982262,Morning_lightOn
913,trotting,distance1,4,8.666666666666666,42.78268697933419,8.5,56.03690763560042,Morning_lightOn
914,trotting,distance1,5,9.0,38.57686748535682,8.0,53.169081438443,Morning_lightOn
915,trotting,distance1,6,6.25,40.7226002904071,7.0,55.017696436123536,Morning_lightOn
916,trotting,distance1,7,8.5,45.570933266133345,8.0,54.31564931197812,Morning_lightOn
917,trotting,distance1,8,7.25,40.485079702430696,7.2,51.46622412558807,Morning_lightOn
918,trotting,distance1,9,5.0,44.88414186108004,5.25,54.20151323927655,Morning_lightOn
919,trotting,distance1,10,6.0,44.66103028411655,7.0,56.56600725021756,Morning_lightOn
920,trotting,distance1,11,7.75,46.069414944036815,6.666666666666667,56.001822257637556,Morning_lightOn
921,trotting,distance1,12,6.0,44.97586682444687,7.0,56.731043914941445,Morning_lightOn
922,trotting,distance1,13,8.0,48.135094487958064,7.0,57.480750283142044,Morning_lightOn
923,trotting,distance1,14,6.5,44.31462452844902,6.0,50.77910526948017,Morning_lightOn
924,trotting,distance1,15,6.5,48.56032538808734,7.0,58.93999381476662,Morning_lightOn
925,trotting,distance1,16,8.0,43.56000012734685,8.2,52.26384179136212,Morning_lightOn
926,trotting,distance1,17,8.5,36.892751887526856,8.4,49.95713175488297,Morning_lightOn
927,trotting,distance1,18,6.333333333333333,47.84991626579385,5.5,56.064399372506756,Morning_lightOn
928,trotting,distance1,19,5.75,44.630340634149256,5.333333333333333,52.419312598507574,Morning_lightOn
929,trotting,distance1,20,6.75,43.59415823266528,6.8,57.539196311849174,Morning_lightOn
930,trotting,distance1,21,6.5,46.2639369705574,6.6,56.184695127698156,Morning_lightOn
931,trotting,distance1,22,9.0,42.299184300175874,8.0,52.35675597822535,Morning_lightOn
932,trotting,distance1,23,7.5,44.06834736774382,7.333333333333333,51.800073002173036,Morning_lightOn
933,trotting,distance1,24,8.333333333333334,42.36264557369289,9.0,51.6791838781165,Morning_lightOn
934,trotting,distance1,25,5.333333333333333,46.82287412447637,5.25,55.56335701663143,Morning_lightOn
935,trotting,distance1,26,7.5,49.98619522756903,8.0,59.79590199770607,Morning_lightOn
936,trotting,distance1,27,8.0,39.581625315695206,7.25,50.87809795596778,Morning_lightOn
937,trotting,distance1,28,6.0,45.51234821043124,5.5,52.65035599616238,Morning_lightOn
938,trotting,distance1,29,6.5,48.9397186247349,6.333333333333333,58.14150969280392,Morning_lightOn
939,trotting,distance1,30,6.0,42.321800899950745,5.5,49.937424601403855,Morning_lightOn
940,trotting,distance1,31,9.5,43.343220953212075,8.666666666666666,57.233330747883564,Morning_lightOn
941,trotting,distance1,32,7.0,45.550861787994194,6.666666666666667,56.452128132017975,Morning_lightOn
942,trotting,distance1,33,6.428571428571429,44.00209560976941,6.333333333333333,55.704752227987925,Morning_lightOn
943,trotting,distance1,34,5.0,47.4188913664926,6.0,55.93270305312549,Morning_lightOn
944,trotting,distance1,35,7.0,45.54851112392105,7.166666666666667,55.897555881958134,Morning_lightOn
945,trotting,distance1,36,6.0,45.05383892990417,6.0,57.523229789076055,Morning_lightOn
946,trotting,distance1,37,5.666666666666667,46.6036551738349,5.5,57.816348183277505,Morning_lightOn
947,trotting,distance1,38,6.333333333333333,44.42223125296918,6.75,57.144876211557104,Morning_lightOn
948,trotting,distance1,39,5.666666666666667,42.894448547332324,6.0,52.54118517812234,Morning_lightOn
949,trotting,distance1,40,5.0,46.314803304448894,6.0,52.77351365040838,Morning_lightOn
950,trotting,distance1,41,6.333333333333333,43.43057657891593,6.0,54.67690935310814,Morning_lightOn
951,trotting,distance1,42,7.0,44.92489566487776,7.0,51.01725723722375,Morning_lightOn
952,trotting,distance1,43,7.25,44.102928201858106,7.0,57.88847092868269,Morning_lightOn
953,trotting,distance1,44,5.5,44.517450343357964,5.333333333333333,53.52572058840846,Morning_lightOn
954,trotting,distance1,45,9.0,43.302598114629895,9.5,53.83211282045983,Morning_lightOn
955,trotting,distance1,46,6.8,44.97631877593248,7.25,52.010463807539544,Morning_lightOn
956,trotting,distance1,47,6.333333333333333,43.13470517736685,6.75,52.25523211305572,Morning_lightOn
957,trotting,distance1,48,9.0,41.20357963823107,10.0,52.51581379301297,Morning_lightOn
958,trotting,distance1,49,6.0,46.95116581993034,5.5,57.92526766683427,Morning_lightOn
959,trotting,distance1,50,8.0,47.32103419293662,8.0,57.70787568465041,Morning_lightOn
960,trotting,distance1,51,6.5,46.64567160765492,5.666666666666667,56.23258776425995,Morning_lightOn
961,trotting,distance1,52,9.0,47.63370968517776,7.0,59.23972919969824,Morning_lightOn
962,trotting,distance1,53,8.5,41.96008212041412,9.0,65.34282316756548,Morning_lightOn
963,trotting,distance1,54,9.0,40.672311174565884,8.5,52.922660821234835,Morning_lightOn
964,trotting,distance1,55,7.0,45.637404791967384,6.5,55.27515300098225,Morning_lightOn
965,trotting,distance1,56,6.0,45.1315554317464,6.666666666666667,58.971071829826734,Morning_lightOn
