OriginalDigital_label,segBoundary,umap1,umap2,zs_velocity
4,55592,-0.3890372361707177,-0.9273016696948548,-0.5727281452214522
12,55632,-0.7952956377963546,-1.2120764782374818,0.4694567410946182
35,55658,-0.467133859441408,0.3224294232936325,-0.5935161171481893
35,55693,-0.8581013695314792,0.5082262198083898,-0.6546488213109329
23,55735,-0.8208388874244399,-1.3706808326192736,1.7334749161534018
10,55788,-1.1744493129058533,-0.6578392352912311,0.1251120318795374
6,55810,-0.2742578830630858,-0.2400322744153644,-0.5333228625214981
32,55825,1.4023581131160463,1.4504032970721743,0.0737152550809441
31,55885,1.67430898820651,1.8401840463658783,-0.2786034966015497
24,55890,0.268843582421816,1.1912680024401376,-0.6808965764278282
38,55915,-0.5523024176616815,1.4100747636597857,0.1029812557470672
10,55944,-1.465224787465385,-0.4912333933168229,-0.6169109274786964
11,55963,-0.7142380413629238,-1.5066522154474935,-0.7801397321907636
23,55986,-1.498116051574672,-0.5932549021495596,1.6150812522384783
22,56032,-1.1983900057769508,-1.444408293252605,2.122533536925095
11,56083,-0.4103638724342566,-1.4720409990338157,-0.094751366751779
12,56108,-0.472787737766683,-1.1927808923133338,0.030117895501002
9,56139,-1.1870053716742464,0.120891897040709,0.6025421181214516
34,56151,-0.4319830447051559,0.2034179758082126,-0.575597902152294
16,56161,0.4671646461830592,0.8780062389950058,-0.6767640083455668
25,56221,0.8447824328710991,1.0074957995948377,-0.6825539013143295
5,56271,-0.2266098533693934,-0.227673423016609,0.089635632302566
32,56291,1.4496775105866295,1.4012025970145914,-0.6986278610192699
31,56336,1.6005778323269872,1.786964583440825,-0.1244861134262541
25,56361,0.8169974848783023,1.0033682171237694,-0.6224795606446422
15,56406,1.2713707174528568,0.0350469791963169,-0.6506573742041478
36,56436,0.480873877852161,-1.0456730419513591,-0.6749231259811866
15,56471,1.217644120907889,-0.0955769711595976,-0.701384873158547
3,56491,0.0374926474412536,-0.928035263886532,-0.7971846736693469
35,56506,-0.6506132793642305,0.262624428912063,-0.4518554462678393
30,56543,-0.6831776967643992,-0.4376390842822674,-0.8235752940832783
38,56597,-0.5101078818058095,1.4484460399444214,-0.3513313673378122
38,56653,-0.5098795750657598,1.437280283453517,-0.5023133395663256
6,56657,-0.5780393830617963,-0.1096275103760088,-0.4031114295655854
12,56702,-0.6820150710988839,-1.247521453000485,0.2569449593340988
33,56743,-0.8681556584125827,-1.2892252603098693,1.4080980252199722
30,56786,-0.4656262485822129,-0.98203813849321,-0.2302721456486096
9,56836,-0.6627451978594402,-0.3934651308820307,0.661159137717058
4,56885,-0.5508515436228952,-0.7219080112374975,-0.5775078827336637
5,56915,-0.4059031182688966,-0.5803297734438523,-0.2527690794941813
32,56975,1.3255832394731075,1.2627280126773766,-0.6024591459728741
31,57010,1.631833182474398,1.8232263177490584,-0.0988062673871663
25,57045,0.6125158203767979,1.3066560719886464,-0.5648996070961262
38,57055,-0.5141011606060278,1.4477691296331203,0.21348814032823
6,57077,-1.153505799039902,0.0917701775208145,-0.6017642688919465
26,57129,-0.5168130475237023,-0.6673667775795619,0.9996237675110432
9,57164,-0.579657895173323,-0.3726109731508719,0.8852871580628308
10,57180,-1.3581806536939478,-0.887652192640773,-0.0823339061336437
9,57188,-0.3711392431218721,-0.2572695804111441,0.4276675061151612
16,57243,0.931431119461316,0.6050091424034366,-0.1098299864591428
32,57303,1.3186507700104209,1.6222084281631552,-0.2626577593843173
34,57358,0.3555645099672109,0.0115331902436446,-0.6107161588951112
27,57368,-0.3339509896882028,-1.6708559507888372,0.7313616895299486
19,57386,-0.1763628622811588,-0.524787936012877,0.9743286009841284
12,57425,-0.5965681441189713,-1.177155071791638,0.2234328628873995
30,57476,-0.8130677478777744,-0.9216191695604664,-0.6987540331745895
12,57521,-0.7626308033190081,-1.1098173635132071,0.1428213635330968
