revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
sniffing,23511,23489,23511,22
rising,23528,23511,23528,17
grooming,23529,23528,23529,1
sniffing,23623,23529,23623,94
stepping,23686,23623,23686,63
walking,23697,23686,23697,11
rising,23743,23697,23743,46
stepping,23780,23743,23780,37
grooming,23781,23780,23781,1
hunching,23845,23781,23845,64
grooming,24109,23845,24109,264
rising,24163,24109,24163,54
stepping,24172,24163,24172,9
rearing,24174,24172,24174,2
sniffing,24205,24174,24205,31
climbing,24277,24205,24277,72
left_turning,24412,24277,24412,135
hunching,24481,24412,24481,69
grooming,24689,24481,24689,208
running,24690,24689,24690,1
trotting,24709,24690,24709,19
sniffing,24757,24709,24757,48
climbing,24822,24757,24822,65
stepping,24823,24822,24823,1
walking,24848,24823,24848,25
stepping,24905,24848,24905,57
rearing,24945,24905,24945,40
climbing,25013,24945,25013,68
walking,25063,25013,25063,50
stepping,25064,25063,25064,1
walking,25074,25064,25074,10
sniffing,25096,25074,25096,22
rising,25113,25096,25113,17
climbing,25165,25113,25165,52
walking,25188,25165,25188,23
sniffing,25290,25188,25290,102
rising,25291,25290,25291,1
grooming,25297,25291,25297,6
hunching,25315,25297,25315,18
grooming,25316,25315,25316,1
left_turning,25338,25316,25338,22
sniffing,25388,25338,25388,50
stepping,25513,25388,25513,125
walking,25532,25513,25532,19
trotting,25564,25532,25564,32
sniffing,25613,25564,25613,49
grooming,25774,25613,25774,161
stepping,25780,25774,25780,6
sniffing,25855,25780,25855,75
rising,25870,25855,25870,15
climbing,25923,25870,25923,53
right_turning,25954,25923,25954,31
walking,26011,25954,26011,57
grooming,26251,26011,26251,240
running,26261,26251,26261,10
stepping,26297,26261,26297,36
grooming,26466,26297,26466,169
trotting,26491,26466,26491,25
sniffing,26527,26491,26527,36
stepping,26540,26527,26540,13
rising,26541,26540,26541,1
sniffing,26599,26541,26599,58
rising,26600,26599,26600,1
sniffing,26601,26600,26601,1
walking,26609,26601,26609,8
sniffing,26621,26609,26621,12
rising,26648,26621,26648,27
rearing,26680,26648,26680,32
walking,26749,26680,26749,69
stepping,26769,26749,26769,20
walking,26800,26769,26800,31
trotting,26822,26800,26822,22
running,26846,26822,26846,24
walking,26855,26846,26855,9
sniffing,26920,26855,26920,65
stepping,26921,26920,26921,1
climbing,26952,26921,26952,31
rearing,27027,26952,27027,75
grooming,27028,27027,27028,1
hunching,27114,27028,27114,86
grooming,27115,27114,27115,1
rearing,27127,27115,27127,12
grooming,27240,27127,27240,113
rearing,27245,27240,27245,5
hunching,27287,27245,27287,42
grooming,27288,27287,27288,1
rearing,27345,27288,27345,57
hunching,27434,27345,27434,89
grooming,27435,27434,27435,1
stepping,27455,27435,27455,20
right_turning,27476,27455,27476,21
walking,27483,27476,27483,7
sniffing,27606,27483,27606,123
stepping,27646,27606,27646,40
sniffing,27704,27646,27704,58
rearing,27705,27704,27705,1
grooming,27706,27705,27706,1
hunching,27729,27706,27729,23
stepping,27746,27729,27746,17
sniffing,27870,27746,27870,124
grooming,28008,27870,28008,138
walking,28029,28008,28029,21
rearing,28052,28029,28052,23
walking,28091,28052,28091,39
sniffing,28092,28091,28092,1
walking,28107,28092,28107,15
rising,28130,28107,28130,23
grooming,28310,28130,28310,180
right_turning,28323,28310,28323,13
sniffing,28373,28323,28373,50
climbing,28483,28373,28483,110
grooming,29013,28483,29013,530
walking,29044,29013,29044,31
sniffing,29045,29044,29045,1
rising,29085,29045,29085,40
sniffing,29153,29085,29153,68
grooming,29154,29153,29154,1
hunching,29214,29154,29214,60
left_turning,29215,29214,29215,1
sniffing,29234,29215,29234,19
grooming,29235,29234,29235,1
walking,29248,29235,29248,13
rearing,29278,29248,29278,30
sniffing,29344,29278,29344,66
trotting,29360,29344,29360,16
walking,29397,29360,29397,37
rising,29425,29397,29425,28
walking,29447,29425,29447,22
stepping,29485,29447,29485,38
walking,29507,29485,29507,22
trotting,29508,29507,29508,1
sniffing,29564,29508,29564,56
rising,29612,29564,29612,48
trotting,29613,29612,29613,1
sniffing,29619,29613,29619,6
right_turning,29634,29619,29634,15
sniffing,29644,29634,29644,10
stepping,29690,29644,29690,46
sniffing,29853,29690,29853,163
grooming,30016,29853,30016,163
walking,30090,30016,30090,74
stepping,30142,30090,30142,52
sniffing,30193,30142,30193,51
climbing,30206,30193,30206,13
sniffing,30278,30206,30278,72
stepping,30304,30278,30304,26
walking,30327,30304,30327,23
sniffing,30358,30327,30358,31
scratching,30416,30358,30416,58
grooming,30484,30416,30484,68
rising,30489,30484,30489,5
rearing,30560,30489,30560,71
climbing,30624,30560,30624,64
left_turning,30652,30624,30652,28
walking,30705,30652,30705,53
sniffing,30706,30705,30706,1
climbing,30771,30706,30771,65
stepping,30811,30771,30811,40
sniffing,30853,30811,30853,42
grooming,30938,30853,30938,85
rearing,30972,30938,30972,34
hunching,31016,30972,31016,44
grooming,31044,31016,31044,28
walking,31105,31044,31105,61
right_turning,31119,31105,31119,14
sniffing,31150,31119,31150,31
walking,31187,31150,31187,37
sniffing,31226,31187,31226,39
left_turning,31237,31226,31237,11
sniffing,31261,31237,31261,24
stepping,31300,31261,31300,39
sniffing,31365,31300,31365,65
walking,31383,31365,31383,18
stepping,31427,31383,31427,44
walking,31453,31427,31453,26
rearing,31454,31453,31454,1
sniffing,31484,31454,31484,30
rising,31485,31484,31485,1
climbing,31511,31485,31511,26
stepping,31549,31511,31549,38
rising,31550,31549,31550,1
left_turning,31555,31550,31555,5
trotting,31560,31555,31560,5
stepping,31571,31560,31571,11
left_turning,31622,31571,31622,51
running,31688,31622,31688,66
trotting,31725,31688,31725,37
sniffing,31798,31725,31798,73
grooming,31804,31798,31804,6
walking,31879,31804,31879,75
sniffing,31891,31879,31891,12
rising,31929,31891,31929,38
climbing,31974,31929,31974,45
left_turning,31997,31974,31997,23
walking,32021,31997,32021,24
stepping,32059,32021,32059,38
grooming,32060,32059,32060,1
scratching,32113,32060,32113,53
sniffing,32176,32113,32176,63
rising,32217,32176,32217,41
left_turning,32249,32217,32249,32
sniffing,32262,32249,32262,13
stepping,32274,32262,32274,12
sniffing,32275,32274,32275,1
stepping,32301,32275,32301,26
rising,32318,32301,32318,17
rearing,32559,32318,32559,241
stepping,32572,32559,32572,13
sniffing,32620,32572,32620,48
running,32636,32620,32636,16
walking,32637,32636,32637,1
right_turning,32641,32637,32641,4
stepping,32670,32641,32670,29
walking,32675,32670,32675,5
sniffing,32685,32675,32685,10
rising,32764,32685,32764,79
sniffing,32823,32764,32823,59
rearing,32898,32823,32898,75
grooming,32899,32898,32899,1
rising,32938,32899,32938,39
grooming,33052,32938,33052,114
climbing,33069,33052,33069,17
walking,33088,33069,33088,19
stepping,33091,33088,33091,3
sniffing,33105,33091,33105,14
stepping,33124,33105,33124,19
sniffing,33196,33124,33196,72
left_turning,33197,33196,33197,1
walking,33219,33197,33219,22
trotting,33258,33219,33258,39
rearing,33312,33258,33312,54
trotting,33337,33312,33337,25
sniffing,33361,33337,33361,24
scratching,33482,33361,33482,121
grooming,33602,33482,33602,120
sniffing,33626,33602,33626,24
grooming,33722,33626,33722,96
left_turning,33756,33722,33756,34
sniffing,33793,33756,33793,37
walking,33823,33793,33823,30
stepping,33867,33823,33867,44
climbing,33873,33867,33873,6
left_turning,33888,33873,33888,15
grooming,33889,33888,33889,1
left_turning,33902,33889,33902,13
walking,33918,33902,33918,16
right_turning,33944,33918,33944,26
walking,33975,33944,33975,31
stepping,33997,33975,33997,22
walking,34003,33997,34003,6
sniffing,34106,34003,34106,103
walking,34107,34106,34107,1
grooming,34108,34107,34108,1
climbing,34133,34108,34133,25
grooming,34360,34133,34360,227
left_turning,34416,34360,34416,56
sniffing,34490,34416,34490,74
stepping,34499,34490,34499,9
rearing,34516,34499,34516,17
left_turning,34546,34516,34546,30
stepping,34561,34546,34561,15
sniffing,34592,34561,34592,31
rising,34743,34592,34743,151
grooming,34970,34743,34970,227
hunching,35004,34970,35004,34
grooming,35222,35004,35222,218
trotting,35232,35222,35232,10
rising,35233,35232,35233,1
stepping,35266,35233,35266,33
sniffing,35306,35266,35306,40
stepping,35339,35306,35339,33
rising,35340,35339,35340,1
climbing,35349,35340,35349,9
running,35376,35349,35376,27
walking,35410,35376,35410,34
stepping,35422,35410,35422,12
sniffing,35529,35422,35529,107
walking,35562,35529,35562,33
sniffing,35610,35562,35610,48
rearing,35712,35610,35712,102
rising,35713,35712,35713,1
sniffing,35770,35713,35770,57
left_turning,35788,35770,35788,18
rising,35797,35788,35797,9
climbing,35845,35797,35845,48
left_turning,35846,35845,35846,1
sniffing,35863,35846,35863,17
grooming,36029,35863,36029,166
sniffing,36035,36029,36035,6
walking,36087,36035,36087,52
stepping,36120,36087,36120,33
walking,36190,36120,36190,70
stepping,36199,36190,36199,9
walking,36255,36199,36255,56
sniffing,36290,36255,36290,35
grooming,36662,36290,36662,372
climbing,36698,36662,36698,36
running,36724,36698,36724,26
stepping,36756,36724,36756,32
walking,36787,36756,36787,31
stepping,36811,36787,36811,24
walking,36839,36811,36839,28
right_turning,36842,36839,36842,3
running,36856,36842,36856,14
stepping,36857,36856,36857,1
sniffing,36980,36857,36980,123
stepping,37018,36980,37018,38
grooming,37061,37018,37061,43
climbing,37105,37061,37105,44
grooming,37106,37105,37106,1
rearing,37107,37106,37107,1
grooming,37416,37107,37416,309
hunching,37452,37416,37452,36
left_turning,37603,37452,37603,151
sniffing,37615,37603,37615,12
grooming,37771,37615,37771,156
rearing,37862,37771,37862,91
grooming,37863,37862,37863,1
rising,37884,37863,37884,21
walking,37940,37884,37940,56
right_turning,37952,37940,37952,12
trotting,37958,37952,37958,6
walking,37980,37958,37980,22
sniffing,38071,37980,38071,91
stepping,38083,38071,38083,12
grooming,38487,38083,38487,404
sniffing,38545,38487,38545,58
rising,38546,38545,38546,1
climbing,38595,38546,38595,49
left_turning,38652,38595,38652,57
walking,38665,38652,38665,13
climbing,38698,38665,38698,33
stepping,38713,38698,38713,15
climbing,38759,38713,38759,46
running,38772,38759,38772,13
walking,38829,38772,38829,57
running,38874,38829,38874,45
sniffing,38942,38874,38942,68
left_turning,38948,38942,38948,6
stepping,38961,38948,38961,13
climbing,38977,38961,38977,16
rearing,39024,38977,39024,47
grooming,39149,39024,39149,125
walking,39215,39149,39215,66
trotting,39228,39215,39228,13
walking,39229,39228,39229,1
sniffing,39302,39229,39302,73
walking,39309,39302,39309,7
sniffing,39336,39309,39336,27
