,sniffing_Morning_Light-on,sniffing_Stress_Light-on,rising_Morning_Light-on,rising_Stress_Light-on,hunching_Morning_Light-on,hunching_Stress_Light-on,rearing_Morning_Light-on,rearing_Stress_Light-on,climbing_Morning_Light-on,climbing_Stress_Light-on
10,155.67197379178566,158.5535195331508,165.13189606616052,173.67249455689623,165.19299422867888,172.65753564917634,179.8286115567614,165.5548254646924,174.8455563757424,176.11567573320968
11,179.62189191559148,165.40127715146204,174.18513243108632,175.2315549776652,159.9825650396728,166.62071627776513,156.5007436884234,158.15091134253288,151.26277233287206,175.40504929108073
12,175.80817584900143,168.2217777242187,177.22140881169082,171.20901324589303,145.85278930652325,171.27010839065574,154.66839036786575,179.42325360415919,141.24065411206792,177.0906411707593
13,175.1494381557024,164.50442445863723,176.28215392178564,175.85728311174057,167.50051391305178,171.95884470257775,164.36348183010983,162.2178660364977,125.53215744176045,162.12412857029628
14,170.1190411425571,176.0080067072587,169.7907454565696,176.9132567890863,164.5686779872764,177.20761558433466,169.46863437222723,135.47250168444063,150.27561355978108,148.77004298956803
15,170.50236002670778,166.97938427854587,155.1267452931746,161.07106669182457,157.67823470255874,154.9924449040011,177.6392924720845,178.8708200656183,161.74638155898586,151.11542485846473
16,176.6766689714405,175.63018761958295,178.36968793065859,179.8180175545898,173.73742396650556,158.02297628491974,175.9954170567231,178.6922322772428,144.2598617852017,160.76669191820392
17,170.40595300152387,179.62855819732374,177.1980283864996,172.32090942181685,179.44887117319783,161.9609472888908,167.70556934607194,171.8441136367645,173.4588948958664,168.36141487919377
18,173.41800709729566,175.1899717454698,174.4433389938627,163.61586278832567,168.2704529069124,167.0073179301549,175.52177171169268,159.78071704767743,145.3342808421849,156.79935262461103
19,175.5999196155848,178.19536449106224,174.06200436878794,166.63798516710222,150.13930439971122,175.32568961965296,170.89512728358952,161.81623480944253,160.30239677340637,168.64704924052785
20,167.07591255253845,170.66040861181332,174.18071720685452,174.7490772416687,155.5336734878315,174.28859883009147,174.0958841842575,173.95678696066,78.8799092369801,161.20771928292032
21,170.31270725223433,159.552579056481,170.46971821712734,170.0044777383237,164.03795889145633,167.6905333908195,162.5308345849176,170.26135627312271,138.0685438975393,177.85494067124102
22,179.1967103643171,176.1137902793467,165.45114521966383,171.93934739336856,170.5914261080761,177.50481244854726,156.81121432252496,146.80595869197748,176.26937189752655,131.20103783997226
23,170.86357620805592,166.4528716706178,166.99621791347334,168.48580543325878,170.76022147533357,177.48005581143488,175.6212228978664,140.45586757580756,148.11005067033014,171.41625578537094
