,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,GS_fra_index,GS_fre_index,color
41,Night_Light-on,3,female,33.74950527111143,5.983521030475299,148.0,18.0,5.640408899579074,8.222222222222221,0.1772921108742004,0.12162162162162163,#398FCB
42,Night_Light-on,3,female,24.40247955010225,12.20922801635992,160.0,17.0,1.998691442030882,9.411764705882353,0.5003273536729083,0.10625,#398FCB
43,Night_Light-on,3,female,30.726943942133815,11.39240506329114,132.0,13.0,2.697142857142857,10.153846153846153,0.3707627118644068,0.09848484848484848,#398FCB
44,Morning_Light-on,1,female,49.310344827586206,1.8595146871008938,218.0,9.0,26.517857142857146,24.22222222222222,0.03771043771043771,0.04128440366972477,#F5B25E
45,Morning_Light-on,1,male,25.922086082312283,2.827521206409048,154.0,13.0,9.167777777777777,11.846153846153847,0.10907768755302388,0.08441558441558442,#F5B25E
46,Night_Light-on,3,female,36.05691989901308,0.8852749270467885,132.0,6.0,40.72962962962963,22.0,0.0245521505865236,0.045454545454545456,#398FCB
47,Night_Light-on,3,male,27.324161893135507,12.681941966381821,188.0,56.0,2.154572380599778,3.357142857142857,0.4641292207234299,0.2978723404255319,#398FCB
48,Morning_Light-on,1,male,36.13026163662057,11.15916584592986,187.0,31.0,3.2377206446661555,6.032258064516129,0.3088592592592592,0.1657754010695187,#F5B25E
49,Morning_Light-on,1,female,29.76624694725491,4.211995305908846,155.0,12.0,7.067018072289157,12.916666666666666,0.14150239744272775,0.07741935483870968,#F5B25E
50,Night_Light-on,3,female,30.1288492227673,11.815119096873337,166.0,21.0,2.550025012506253,7.904761904761905,0.3921530161844041,0.12650602409638553,#398FCB
51,Night_Light-on,3,male,22.221365610464368,10.79587798422121,145.0,40.0,2.0583194477505358,3.625,0.4858332369607956,0.27586206896551724,#398FCB
52,Morning_Light-on,1,female,32.03185128174768,9.025516547273696,181.0,20.0,3.549032469662184,9.05,0.2817669346640791,0.11049723756906077,#F5B25E
53,Morning_Light-on,1,male,38.77684437616448,5.014218938972967,148.0,16.0,7.733376792698827,9.25,0.12930961814043665,0.10810810810810811,#F5B25E
54,Night_Light-on,3,female,42.93542345841715,6.228757716584587,70.0,9.0,6.893095768374166,7.777777777777778,0.14507269789983843,0.12857142857142856,#398FCB
55,Night_Light-on,3,male,18.912182964374725,9.18242681913698,60.0,10.0,2.0596061734965403,6.0,0.48552971576227394,0.16666666666666666,#398FCB
56,Morning_Light-on,1,female,30.307972491777434,2.0658348963005246,191.0,12.0,14.671052631578947,15.916666666666666,0.06816143497757847,0.06282722513089005,#F5B25E
57,Morning_Light-on,1,male,50.404248336764226,4.949431665622483,173.0,16.0,10.183845690174804,10.8125,0.09819473216928085,0.09248554913294797,#F5B25E
58,Night_Light-on,3,female,44.13250323035358,4.784838873879165,160.0,15.0,9.22340425531915,10.666666666666666,0.10841983852364474,0.09375,#398FCB
59,Night_Light-on,3,male,32.33915636983383,1.0566680869194716,60.0,3.0,30.604838709677423,20.0,0.03267457180500658,0.05,#398FCB
60,Afternoon_Light-on,0,male,27.769560715870433,8.092984272543509,216.0,29.0,3.4313128236369175,7.448275862068965,0.29143364403018196,0.13425925925925927,#936736
61,Afternoon_Light-on,0,female,20.6093481014714,5.132036249066164,126.0,19.0,4.015822784810126,6.631578947368421,0.24901497241922774,0.15079365079365079,#936736
62,Afternoon_Light-on,0,female,20.57125570373358,10.517558675977513,175.0,30.0,1.9558964525407476,5.833333333333333,0.5112745098039216,0.17142857142857143,#936736
63,Night_Light-off,2,male,25.241233496030052,10.63001866888594,248.0,74.0,2.374523910283538,3.3513513513513513,0.4211370522188558,0.29838709677419356,#003960
64,Night_Light-off,2,male,31.487805370890502,26.04821273414294,237.0,73.0,1.2088278644015205,3.2465753424657535,0.8272476416607841,0.3080168776371308,#003960
65,Night_Light-off,2,female,21.14101506859585,8.016592947997102,220.0,49.0,2.63715710723192,4.489795918367347,0.3791962174940899,0.22272727272727272,#003960
66,Afternoon_Light-on,0,female,23.651779803432298,6.10327443092122,232.0,30.0,3.8752607425949104,7.733333333333333,0.2580471525460222,0.12931034482758622,#936736
67,Afternoon_Light-on,0,male,30.800620070213835,8.840559886928373,216.0,47.0,3.4840123775141825,4.595744680851064,0.2870253867219303,0.2175925925925926,#936736
68,Afternoon_Light-on,0,male,32.035553563759265,18.26041491606446,211.0,37.0,1.7543716126393292,5.702702702702703,0.5700046630916298,0.17535545023696683,#936736
69,Night_Light-off,2,female,21.958835315240304,17.41042387655799,192.0,53.0,1.2612464504558363,3.6226415094339623,0.7928664533712525,0.2760416666666667,#003960
70,Night_Light-off,2,female,24.409169148383924,3.707548974071747,204.0,34.0,6.583640383198231,6.0,0.15189164987687487,0.16666666666666666,#003960
71,Night_Light-off,2,male,22.098688992381618,3.02850835868307,197.0,28.0,7.296888888888889,7.035714285714286,0.13704470702887075,0.14213197969543148,#003960
72,Afternoon_Light-on,0,male,23.199962909731557,14.581111780796514,190.0,42.0,1.5910969793322733,4.523809523809524,0.6284972022382095,0.22105263157894736,#936736
73,Afternoon_Light-on,0,male,31.141087801833805,9.680284191829484,213.0,40.0,3.2169600793454007,5.325,0.3108524741791275,0.18779342723004694,#936736
74,Afternoon_Light-on,0,female,21.42989835726228,8.407420185239245,158.0,44.0,2.548926767676768,3.590909090909091,0.39232198142414854,0.27848101265822783,#936736
75,Night_Light-off,2,female,19.92565845369584,11.618521665250638,215.0,41.0,1.7149908592321754,5.2439024390243905,0.5830934868350922,0.19069767441860466,#003960
76,Night_Light-off,2,female,23.422520369085255,8.121931786053924,294.0,41.0,2.8838607594936705,7.170731707317073,0.3467573795676506,0.13945578231292516,#003960
77,Night_Light-off,2,male,21.40100347356233,14.4418178309533,218.0,65.0,1.481877401035577,3.353846153846154,0.6748196573489631,0.2981651376146789,#003960
78,Afternoon_Light-on,0,female,23.090139679913456,3.1213210728944603,163.0,21.0,7.397553516819572,7.761904761904762,0.1351798263745349,0.12883435582822086,#936736
79,Afternoon_Light-on,0,male,14.459310968909572,5.046000043091375,170.0,34.0,2.8654995730145174,5.0,0.34897928773655196,0.2,#936736
80,Afternoon_Light-on,0,male,23.04226918798665,6.621245828698553,159.0,37.0,3.48005039899202,4.297297297297297,0.2873521602703355,0.23270440251572327,#936736
81,Night_Light-off,2,female,21.6088991742492,9.961605217482775,211.0,67.0,2.1692185850052796,3.1492537313432836,0.4609954971400754,0.3175355450236967,#003960
82,Night_Light-off,2,male,33.147498302014945,11.86608557844691,209.0,52.0,2.7934652993083713,4.019230769230769,0.35797831469307606,0.24880382775119617,#003960
83,Night_Light-off,2,female,25.385880101101815,9.599764422958945,196.0,66.0,2.644427402862986,2.9696969696969697,0.37815369743837596,0.336734693877551,#003960
84,Afternoon_Light-on,0,female,15.16788061822704,2.362764256528691,101.0,13.0,6.41954887218045,7.769230769230769,0.15577418599203563,0.12871287128712872,#936736
85,Afternoon_Light-on,0,female,33.40295566502463,4.007881773399015,136.0,24.0,8.334316617502456,5.666666666666667,0.11998584237848044,0.17647058823529413,#936736
86,Afternoon_Light-on,0,female,26.2725432740235,6.047790230492705,134.0,26.0,4.344155844155844,5.153846153846154,0.23019431988041855,0.19402985074626866,#936736
87,Night_Light-off,2,male,23.86622447756423,18.565948775322653,239.0,109.0,1.2854836974066501,2.1926605504587156,0.7779172944918802,0.4560669456066946,#003960
88,Night_Light-off,2,male,26.109161267098628,4.009179265658747,276.0,40.0,6.512345679012345,6.9,0.15355450236966825,0.14492753623188406,#003960
89,Night_Light-off,2,male,15.57280586611144,11.444801520843706,164.0,55.0,1.3606881550326282,2.981818181818182,0.7349222496730126,0.3353658536585366,#003960
90,Afternoon_Light-on,0,male,48.34314457065473,5.563386120553851,183.0,20.0,8.689518132141083,9.15,0.11508117996798535,0.1092896174863388,#936736
91,Afternoon_Light-on,0,female,22.24108658743633,10.226126325631752,185.0,47.0,2.1749278152069293,3.9361702127659575,0.4597853744883284,0.25405405405405407,#936736
92,Afternoon_Light-on,0,male,17.320076245427853,3.4387718304054404,158.0,22.0,5.036704119850188,7.181818181818182,0.19854253420582985,0.13924050632911392,#936736
93,Night_Light-off,2,female,18.6966640806827,28.187225239203517,169.0,97.0,0.663302752293578,1.7422680412371134,1.5076071922544951,0.5739644970414202,#003960
94,Night_Light-off,2,male,25.6998382798442,8.990274013165388,288.0,86.0,2.8586268051684818,3.3488372093023258,0.34981831073296116,0.2986111111111111,#003960
95,Night_Light-off,2,female,20.57033736473584,17.06683640992998,203.0,73.0,1.2052812173653589,2.780821917808219,0.8296818913231835,0.35960591133004927,#003960
96,Night_Light-off,2,male,29.01395643063298,21.739216383979755,258.0,112.0,1.3346367191052106,2.3035714285714284,0.7492675614907678,0.43410852713178294,#003960
97,Night_Light-off,2,male,28.24679321466381,15.190683703867839,238.0,57.0,1.859481361426256,4.175438596491228,0.537784363287719,0.23949579831932774,#003960
98,Night_Light-off,2,female,27.21971132818195,5.873062156776984,275.0,30.0,4.634671079851055,9.166666666666666,0.21576504195679344,0.10909090909090909,#003960
99,Afternoon_Light-on,0,female,31.18934873548086,15.392945873059691,256.0,39.0,2.0262105117947304,6.564102564102564,0.4935321350762527,0.15234375,#936736
100,Afternoon_Light-on,0,male,40.66600696984038,12.354257195714839,215.0,51.0,3.2916594114574265,4.215686274509804,0.30379813796022004,0.2372093023255814,#936736
101,Afternoon_Light-on,0,female,28.404981920449977,3.8212579795544843,115.0,12.0,7.43341121495327,9.583333333333334,0.13452773848813454,0.10434782608695652,#936736
102,Night_Light-off,2,male,26.561214415007406,20.738028632548954,250.0,109.0,1.2807974608212658,2.293577981651376,0.780763571594517,0.436,#003960
103,Night_Light-off,2,female,21.01112811600218,14.46655080283261,196.0,62.0,1.452393760086068,3.161290322580645,0.6885185185185184,0.3163265306122449,#003960
104,Night_Light-off,2,male,26.975543580660965,19.286279534235216,277.0,89.0,1.398690894880813,3.1123595505617976,0.7149542501920793,0.3212996389891697,#003960
105,Afternoon_Light-on,0,female,30.976563525181746,7.442983492113482,216.0,30.0,4.161847672778562,7.2,0.24027789545030925,0.1388888888888889,#936736
106,Afternoon_Light-on,0,female,32.897750937109535,12.947730112453145,190.0,43.0,2.540812223562525,4.4186046511627906,0.3935749327425226,0.22631578947368422,#936736
107,Night_Light-off,2,male,29.018159433671897,4.614753257412537,352.0,38.0,6.288128056914184,9.263157894736842,0.1590298401923349,0.10795454545454546,#003960
108,Night_Light-off,2,female,26.378616841832102,9.975779594308205,285.0,93.0,2.6442662042055063,3.064516129032258,0.3781767502869323,0.3263157894736842,#003960
109,Night_Light-off,2,male,23.320320971589677,10.37085230969421,269.0,67.0,2.2486407360936846,4.014925373134329,0.4447131033200037,0.24907063197026022,#003960
110,Afternoon_Light-on,0,male,27.262138937778236,11.864582254891811,184.0,29.0,2.2977748691099475,6.344827586206897,0.4352036456849901,0.15760869565217392,#936736
111,Afternoon_Light-on,0,male,26.58895138719057,8.920953234966442,167.0,29.0,2.980505635089857,5.758620689655173,0.33551354113438936,0.17365269461077845,#936736
112,Afternoon_Light-on,0,male,21.757674229675622,7.31155341495967,136.0,27.0,2.975793650793651,5.037037037037037,0.3360448059741299,0.19852941176470587,#936736
113,Night_Light-off,2,female,24.815972820601196,24.742115758635123,190.0,58.0,1.0029850746268656,3.2758620689655173,0.9970238095238095,0.30526315789473685,#003960
114,Night_Light-off,2,female,33.10487139803965,15.542781339818704,242.0,58.0,2.1299193930772877,4.172413793103448,0.46950133570792524,0.2396694214876033,#003960
115,Night_Light-off,2,female,15.072958038335349,28.626316698324988,153.0,51.0,0.5265419996983863,3.0,1.899183731920378,0.3333333333333333,#003960
116,Afternoon_Light-on,0,female,26.246631848574566,4.760320681281394,130.0,21.0,5.513626834381552,6.190476190476191,0.18136882129277565,0.16153846153846155,#936736
