revised_movement_label,group,body_stretch_rate
running,Morning_Light-on,101.5031544785192
running,Stress_Light-on,96.03997920934006
running,Stress_Light-on,97.19527647145291
running,Morning_Light-on,98.62528192825813
running,Morning_Light-on,97.74964567575758
running,Morning_Light-on,103.99328638501089
running,Stress_Light-on,95.09838502646592
running,Stress_Light-on,104.57006184781929
running,Stress_Light-on,96.44349030401483
running,Morning_Light-on,98.38859704506889
running,Morning_Light-on,96.14052152007079
running,Stress_Light-on,97.28970541183692
running,Stress_Light-on,97.0754055483335
running,Morning_Light-on,102.82445880981821
running,Morning_Light-on,105.16642415297936
running,Morning_Light-on,96.20817439680415
running,Morning_Light-on,106.37300427564689
running,Morning_Light-on,98.60261405909826
running,Stress_Light-on,93.2846407311256
running,Stress_Light-on,96.40658585070189
running,Morning_Light-on,109.45575301676958
running,Stress_Light-on,99.5273742976699
running,Morning_Light-on,106.98571560179172
running,Morning_Light-on,107.30958891722595
running,Morning_Light-on,100.1406820226221
running,Stress_Light-on,98.67071735195593
running,Stress_Light-on,103.05431646339336
running,Stress_Light-on,100.00651321300357
running,Morning_Light-on,111.7838425874563
running,Stress_Light-on,95.5912399447778
running,Morning_Light-on,108.59893443030992
running,Morning_Light-on,103.06253773263381
running,Morning_Light-on,101.13623342942066
running,Morning_Light-on,95.15196745890316
running,Morning_Light-on,109.83992170313559
running,Stress_Light-on,98.64601242658199
running,Morning_Light-on,107.3081292861575
running,Morning_Light-on,107.0578501174407
running,Morning_Light-on,102.0979914291539
running,Morning_Light-on,109.13424561831222
running,Morning_Light-on,106.22056090636273
running,Morning_Light-on,99.8478810919925
running,Stress_Light-on,95.71433993033165
running,Stress_Light-on,89.85161428244479
running,Morning_Light-on,92.1296831758629
running,Morning_Light-on,100.46272268587857
running,Stress_Light-on,91.60571592134565
running,Stress_Light-on,92.46264509406979
running,Stress_Light-on,97.65752360165071
running,Stress_Light-on,93.69674601516877
running,Morning_Light-on,100.82805755787763
running,Morning_Light-on,92.5338881247036
running,Stress_Light-on,97.50070616686233
running,Stress_Light-on,93.9501342633536
running,Morning_Light-on,105.93566916572021
running,Morning_Light-on,104.97415831441018
running,Stress_Light-on,96.33484191382064
running,Stress_Light-on,96.10994109284611
running,Stress_Light-on,94.5699723417487
running,Stress_Light-on,99.79919160636572
running,Morning_Light-on,103.47473747300617
running,Morning_Light-on,103.55950351583031
running,Stress_Light-on,92.24753156405804
running,Stress_Light-on,95.38504555843227
running,Morning_Light-on,99.6621470033303
running,Morning_Light-on,96.63614933322248
running,Stress_Light-on,97.12711828741791
running,Morning_Light-on,99.77893482585604
running,Morning_Light-on,105.81474711148435
running,Stress_Light-on,95.28336368268641
running,Morning_Light-on,100.0669235339128
running,Morning_Light-on,99.76722474389781
running,Morning_Light-on,91.26714198158056
running,Stress_Light-on,94.9274033111122
running,Stress_Light-on,100.71020512735332
running,Morning_Light-on,103.99757856517489
running,Morning_Light-on,98.19596048931525
running,Morning_Light-on,104.4930374994297
running,Stress_Light-on,98.44216080208004
running,Stress_Light-on,90.30116143331442
running,Morning_Light-on,104.15313258310252
running,Stress_Light-on,95.10636845637808
running,Stress_Light-on,89.62625097976576
running,Stress_Light-on,95.18095331713839
running,Stress_Light-on,91.81702408166007
running,Morning_Light-on,103.27327753188993
running,Morning_Light-on,93.66294990822833
running,Morning_Light-on,93.93305576820052
running,Stress_Light-on,91.36871614283471
running,Stress_Light-on,92.31222334045877
running,Stress_Light-on,95.94284509336354
running,Stress_Light-on,90.22600963013517
running,Stress_Light-on,99.13137489913844
running,Stress_Light-on,90.28978601130989
running,Morning_Light-on,109.17423226070811
running,Morning_Light-on,99.70505241061667
running,Morning_Light-on,99.24211664137485
running,Morning_Light-on,108.73235237888485
running,Morning_Light-on,103.8844093825747
running,Stress_Light-on,96.71383919055884
running,Stress_Light-on,89.81334707768566
running,Morning_Light-on,107.5152730364952
running,Morning_Light-on,99.06363390151799
running,Morning_Light-on,100.24484754932989
running,Morning_Light-on,99.37058261345604
running,Morning_Light-on,99.87960564272467
running,Stress_Light-on,95.52243282275684
running,Morning_Light-on,101.9980535821033
running,Stress_Light-on,96.07590250966417
running,Stress_Light-on,96.45248878483577
running,Stress_Light-on,101.96080166293864
running,Stress_Light-on,92.64184648876169
running,Morning_Light-on,97.06646876878658
running,Morning_Light-on,105.18438630225096
running,Morning_Light-on,105.5963355096386
running,Stress_Light-on,90.9209954636484
