revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
hunching,16003,15962,16003,41
grooming,16090,16003,16090,87
sniffing,16130,16090,16130,40
climbing,16204,16130,16204,74
stepping,16219,16204,16219,15
rising,16254,16219,16254,35
climbing,16336,16254,16336,82
hunching,16412,16336,16412,76
rearing,16583,16412,16583,171
hunching,16592,16583,16592,9
grooming,16737,16592,16737,145
running,16751,16737,16751,14
walking,16789,16751,16789,38
stepping,16806,16789,16806,17
grooming,16834,16806,16834,28
sniffing,16835,16834,16835,1
stepping,16874,16835,16874,39
sniffing,16895,16874,16895,21
rising,16962,16895,16962,67
climbing,16963,16962,16963,1
left_turning,16991,16963,16991,28
stepping,16992,16991,16992,1
rising,17041,16992,17041,49
climbing,17042,17041,17042,1
left_turning,17060,17042,17060,18
hunching,17090,17060,17090,30
grooming,17208,17090,17208,118
walking,17230,17208,17230,22
running,17262,17230,17262,32
walking,17325,17262,17325,63
sniffing,17343,17325,17343,18
stepping,17377,17343,17377,34
rising,17413,17377,17413,36
grooming,17525,17413,17525,112
running,17541,17525,17541,16
left_turning,17542,17541,17542,1
walking,17592,17542,17592,50
stepping,17645,17592,17645,53
grooming,17921,17645,17921,276
sniffing,17947,17921,17947,26
stepping,17996,17947,17996,49
left_turning,18030,17996,18030,34
rearing,18092,18030,18092,62
grooming,18195,18092,18195,103
sniffing,18245,18195,18245,50
rearing,18280,18245,18280,35
hunching,18312,18280,18312,32
grooming,18519,18312,18519,207
climbing,18560,18519,18560,41
grooming,18768,18560,18768,208
trotting,18805,18768,18805,37
stepping,18849,18805,18849,44
sniffing,18850,18849,18850,1
rising,18870,18850,18870,20
rearing,18957,18870,18957,87
hunching,18963,18957,18963,6
grooming,19039,18963,19039,76
walking,19087,19039,19087,48
sniffing,19196,19087,19196,109
grooming,19202,19196,19202,6
left_turning,19213,19202,19213,11
grooming,19299,19213,19299,86
sniffing,19300,19299,19300,1
grooming,19366,19300,19366,66
sniffing,19377,19366,19377,11
climbing,19474,19377,19474,97
trotting,19484,19474,19484,10
sniffing,19561,19484,19561,77
walking,19618,19561,19618,57
hunching,19637,19618,19637,19
rearing,19703,19637,19703,66
grooming,19704,19703,19704,1
sniffing,19833,19704,19833,129
trotting,19851,19833,19851,18
sniffing,19948,19851,19948,97
hunching,19974,19948,19974,26
rearing,19984,19974,19984,10
left_turning,20000,19984,20000,16
sniffing,20051,20000,20051,51
rising,20052,20051,20052,1
grooming,20082,20052,20082,30
climbing,20148,20082,20148,66
sniffing,20200,20148,20200,52
running,20218,20200,20218,18
stepping,20231,20218,20231,13
grooming,20232,20231,20232,1
rising,20265,20232,20265,33
grooming,20327,20265,20327,62
rising,20337,20327,20337,10
left_turning,20388,20337,20388,51
walking,20428,20388,20428,40
